frame,t_rel,t_abs,mar,delta_mar,mar_bp,nose_lip_dist,delta_nose_lip_dist,chin_lip_dist,delta_chin_lip_dist,valid
152,5.066849,,0.026242,0.012756,0.012868,98.654533,3.368080,140.708099,-1.671509,1
153,5.100184,,0.053251,0.027009,0.018686,106.600471,7.945938,139.572205,-1.135895,1
154,5.133518,,0.076737,0.023485,0.022360,113.116837,6.516365,142.294754,2.722549,1
155,5.166853,,0.053216,-0.023521,0.023011,114.995430,1.878593,142.211136,-0.083618,1
156,5.200187,,0.041733,-0.011482,0.020333,116.007500,1.012070,142.268265,0.057129,1
157,5.233522,,0.028312,-0.013421,0.014682,115.610001,-0.397499,143.899658,1.631393,1
158,5.266856,,0.029067,0.000755,0.007149,114.302574,-1.307426,142.665878,-1.233780,1
159,5.300191,,0.028399,-0.000668,-0.001029,116.404007,2.101433,143.105560,0.439682,1
160,5.333525,,0.014899,-0.013500,-0.008631,113.092972,-3.311035,141.080109,-2.025452,1
161,5.366860,,0.006694,-0.008204,-0.014791,106.658897,-6.434074,141.741516,0.661407,1
162,5.400195,,0.002607,-0.004088,-0.019054,103.820915,-2.837982,140.882416,-0.859100,1
163,5.433529,,0.000477,-0.002129,-0.021294,104.465889,0.644974,141.433517,0.551102,1
164,5.466864,,0.000781,0.000303,-0.021721,105.234840,0.768951,141.888504,0.454987,1
165,5.500198,,0.004845,0.004064,-0.020501,103.252472,-1.982368,142.776230,0.887726,1
166,5.533533,,0.014238,0.009393,-0.017607,103.844688,0.592216,141.818329,-0.957901,1
167,5.566867,,0.018062,0.003823,-0.012914,102.655434,-1.189255,143.619858,1.801529,1
168,5.600202,,0.022713,0.004652,-0.006200,103.418716,0.763283,143.577942,-0.041916,1
169,5.633536,,0.021620,-0.001094,0.002575,100.927261,-2.491455,143.557831,-0.020111,1
170,5.666871,,0.022119,0.000500,0.012795,96.702950,-4.224312,144.957535,1.399704,1
171,5.700205,,0.024487,0.002367,0.023220,93.784897,-2.918053,142.297760,-2.659775,1
172,5.733540,,0.057991,0.033505,0.031969,98.792290,5.007393,136.547058,-5.750702,1
173,5.766874,,0.084810,0.026819,0.037165,107.666794,8.874504,134.469498,-2.077560,1
174,5.800209,,0.092629,0.007819,0.037461,114.711166,7.044373,143.279465,8.809967,1
175,5.833543,,0.048468,-0.044162,0.032445,119.054810,4.343643,142.702042,-0.577423,1
176,5.866878,,0.046506,-0.001962,0.023229,117.047798,-2.007011,146.365692,3.663651,1
177,5.900213,,0.024397,-0.022109,0.011670,113.930061,-3.117737,146.276138,-0.089554,1
178,5.933547,,0.025487,0.001090,0.000022,113.198875,-0.731186,147.217911,0.941772,1
179,5.966882,,0.018498,-0.006989,-0.009767,111.520203,-1.678673,142.213348,-5.004562,1
180,6.000216,,0.003829,-0.014669,-0.016535,103.436073,-8.084129,141.055466,-1.157883,1
181,6.033551,,0.007305,0.003476,-0.019933,104.295792,0.859718,144.648346,3.592880,1
182,6.066885,,0.013492,0.006187,-0.020569,105.537369,1.241577,145.419128,0.770782,1
183,6.100220,,0.012641,-0.000852,-0.019335,102.060623,-3.476746,146.355881,0.936752,1
184,6.133554,,0.012730,0.000089,-0.017082,100.855568,-1.205055,150.253235,3.897354,1
185,6.166889,,0.016152,0.003422,-0.014350,101.835754,0.980186,150.397522,0.144287,1
186,6.200223,,0.019453,0.003301,-0.011174,99.571747,-2.264008,150.329697,-0.067825,1
187,6.233558,,0.024489,0.005036,-0.007231,97.734962,-1.836784,150.852371,0.522675,1
188,6.266892,,0.023584,-0.000905,-0.002203,96.565628,-1.169334,149.854904,-0.997467,1
189,6.300227,,0.025505,0.001922,0.003932,94.809479,-1.756149,147.452438,-2.402466,1
190,6.333561,,0.026441,0.000936,0.010662,94.488815,-0.320663,146.536911,-0.915527,1
191,6.366896,,0.038531,0.012090,0.016897,99.827789,5.338974,143.474747,-3.062164,1
192,6.400231,,0.068282,0.029751,0.021323,109.075745,9.247955,141.691071,-1.783676,1
193,6.433565,,0.074036,0.005754,0.022718,115.854996,6.779251,145.613693,3.922623,1
194,6.466900,,0.050404,-0.023632,0.020650,116.012932,0.157936,144.752502,-0.861191,1
195,6.500234,,0.034771,-0.015633,0.015417,115.244606,-0.768326,144.881302,0.128799,1
196,6.533569,,0.026414,-0.008357,0.007989,115.470970,0.226364,147.689407,2.808105,1
197,6.566903,,0.026158,-0.000256,-0.000181,118.907288,3.436317,142.424683,-5.264725,1
198,6.600238,,0.028419,0.002261,-0.007762,117.846184,-1.061104,143.838943,1.414261,1
199,6.633572,,0.015610,-0.012809,-0.013701,112.963867,-4.882317,145.007919,1.168976,1
200,6.666907,,0.011735,-0.003875,-0.017553,106.282715,-6.681152,145.031952,0.024033,1
201,6.700241,,0.009321,-0.002414,-0.019347,105.806221,-0.476494,142.212448,-2.819504,1
202,6.733576,,0.003353,-0.005968,-0.019462,104.718956,-1.087265,145.287888,3.075439,1
203,6.766910,,0.008259,0.004905,-0.018523,103.717285,-1.001671,146.322708,1.034821,1
204,6.800245,,0.013077,0.004818,-0.017001,103.281891,-0.435394,145.031326,-1.291382,1
205,6.833579,,0.018822,0.005745,-0.015068,103.787529,0.505638,146.519104,1.487778,1
206,6.866914,,0.024011,0.005189,-0.012539,103.684036,-0.103493,147.401245,0.882141,1
207,6.900249,,0.023058,-0.000953,-0.008961,102.115967,-1.568069,147.059006,-0.342239,1
208,6.933583,,0.022916,-0.000142,-0.003856,101.283539,-0.832428,147.061707,0.002701,1
209,6.966918,,0.015434,-0.007482,0.002793,99.967125,-1.316414,147.308060,0.246353,1
210,7.000252,,0.022604,0.007170,0.010418,95.920654,-4.046471,145.628922,-1.679138,1
211,7.033587,,0.040213,0.017609,0.017768,99.716110,3.795456,143.776398,-1.852524,1
212,7.066921,,0.064085,0.023872,0.023260,111.041016,11.324905,141.337784,-2.438614,1
213,7.100256,,0.075365,0.011280,0.025510,117.827560,6.786545,143.395233,2.057449,1
214,7.133590,,0.058779,-0.016586,0.023716,118.725639,0.898079,147.190292,3.795059,1
215,7.166925,,0.037266,-0.021512,0.018281,117.528244,-1.197395,146.703491,-0.486801,1
216,7.200259,,0.025766,-0.011501,0.010345,113.553047,-3.975197,146.021820,-0.681671,1
217,7.233594,,0.028722,0.002957,0.001543,112.582619,-0.970428,148.010254,1.988434,1
218,7.266928,,0.019191,-0.009531,-0.006498,109.540382,-3.042236,147.151627,-0.858627,1
219,7.300263,,0.010358,-0.008833,-0.012660,106.378868,-3.161514,142.618988,-4.532639,1
220,7.333598,,0.010350,-0.000008,-0.016419,103.095505,-3.283363,145.783279,3.164291,1
221,7.366932,,0.012430,0.002080,-0.018007,104.104416,1.008911,146.855240,1.071960,1
222,7.400267,,0.012061,-0.000369,-0.017947,102.442390,-1.662025,149.648727,2.793488,1
223,7.433601,,0.012858,0.000797,-0.016792,102.459641,0.017250,149.314102,-0.334625,1
224,7.466936,,0.014309,0.001451,-0.014910,101.615616,-0.844025,149.327545,0.013443,1
225,7.500270,,0.018994,0.004685,-0.012280,100.202011,-1.413605,149.669754,0.342209,1
226,7.533605,,0.020954,0.001960,-0.008592,100.606834,0.404823,149.795807,0.126053,1
227,7.566939,,0.019391,-0.001563,-0.003574,98.085991,-2.520844,148.814285,-0.981522,1
228,7.600274,,0.026469,0.007078,0.002782,95.237457,-2.848534,146.927948,-1.886337,1
229,7.633608,,0.031195,0.004726,0.009976,95.067932,-0.169525,146.706375,-0.221573,1
230,7.666943,,0.031115,-0.000080,0.016921,97.607559,2.539627,145.140717,-1.565659,1
231,7.700277,,0.059703,0.028588,0.022260,105.895332,8.287773,142.567993,-2.572723,1
