frame,timestamp,anchor_to_bottom_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
309,10.300671447196873,68.22156602182403,Open,Open,Closed,Closed,Closed
310,10.33400695349848,71.4375204943397,Open,Open,Closed,Closed,Closed
311,10.367342459800089,78.04530575983495,Open,Open,Open,Closed,Closed
312,10.400677966101696,77.42581723016079,Open,Open,Open,Closed,Closed
313,10.434013472403302,77.41195545002483,Open,Open,Open,Closed,Closed
314,10.46734897870491,79.4561524229488,Open,Open,Open,Closed,Closed
315,10.500684485006518,78.168475785955,Open,Open,Open,Closed,Closed
316,10.534019991308126,74.7991463613133,Open,Open,Closed,Closed,Closed
317,10.567355497609734,73.39101497972003,Open,Open,Closed,Closed,Closed
318,10.600691003911342,77.0117632359636,Open,Open,Open,Closed,Closed
319,10.63402651021295,71.94768519136414,Open,Open,Closed,Closed,Closed
320,10.66736201651456,74.27814204424325,Open,Open,Closed,Closed,Closed
321,10.700697522816167,73.03668466778785,Open,Open,Closed,Closed,Closed
322,10.734033029117777,69.21466464544221,Open,Open,Closed,Closed,Closed
323,10.767368535419385,66.28030957125154,Open,Closed,Closed,Closed,Closed
324,10.80070404172099,67.11967258456993,Open,Open,Closed,Closed,Closed
325,10.8340395480226,69.1140314225709,Open,Open,Closed,Closed,Closed
326,10.867375054324206,65.99817621491113,Open,Closed,Closed,Closed,Closed
327,10.900710560625814,68.0013165806496,Open,Open,Closed,Closed,Closed
328,10.934046066927422,64.85726573179397,Open,Closed,Closed,Closed,Closed
329,10.96738157322903,60.00874304397428,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,65.39645986134204,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,69.79753891797489,Open,Open,Closed,Closed,Closed
332,11.067388092133854,68.92120655590182,Open,Open,Closed,Closed,Closed
333,11.100723598435462,72.06615530665908,Open,Open,Closed,Closed,Closed
334,11.134059104737071,75.72481701083527,Open,Open,Closed,Closed,Closed
335,11.16739461103868,77.37411044047968,Open,Open,Open,Closed,Closed
336,11.200730117340289,76.38593463949141,Open,Open,Open,Closed,Closed
337,11.234065623641897,74.85420688855235,Open,Open,Closed,Closed,Closed
338,11.267401129943504,74.77406527854487,Open,Open,Closed,Closed,Closed
339,11.30073663624511,70.5439492673541,Open,Open,Closed,Closed,Closed
340,11.334072142546718,69.85852140745595,Open,Open,Closed,Closed,Closed
341,11.367407648848326,69.56528780205579,Open,Open,Closed,Closed,Closed
342,11.400743155149934,67.14828356549236,Open,Open,Closed,Closed,Closed
343,11.434078661451542,62.340274722579565,Open,Closed,Closed,Closed,Closed
344,11.46741416775315,63.67160111841745,Open,Closed,Closed,Closed,Closed
345,11.500749674054758,65.79565511887357,Open,Closed,Closed,Closed,Closed
346,11.534085180356366,67.24699703621934,Open,Open,Closed,Closed,Closed
347,11.567420686657975,63.47030684369063,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,62.27334723368372,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,59.82342155174983,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,58.7337157034457,Open,Closed,Closed,Closed,Closed
351,11.700762711864408,66.207704539434,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,66.64145893944378,Open,Closed,Closed,Closed,Closed
353,11.767433724467622,73.36727584132015,Open,Open,Closed,Closed,Closed
354,11.80076923076923,77.12337594130835,Open,Open,Open,Closed,Closed
355,11.834104737070838,80.41291528312853,Open,Open,Open,Closed,Closed
356,11.867440243372446,78.96806878319424,Open,Open,Open,Closed,Closed
357,11.900775749674054,74.10085969108289,Open,Open,Closed,Closed,Closed
358,11.934111255975662,69.85599076675928,Open,Open,Closed,Closed,Closed
359,11.96744676227727,73.63012086760344,Open,Open,Closed,Closed,Closed
360,12.000782268578876,71.65563950338691,Open,Open,Closed,Closed,Closed
361,12.034117774880489,68.81045872659928,Open,Open,Closed,Closed,Closed
362,12.067453281182097,63.10196980785666,Open,Closed,Closed,Closed,Closed
363,12.100788787483705,65.96400533624379,Open,Closed,Closed,Closed,Closed
364,12.13412429378531,64.31569689411526,Open,Closed,Closed,Closed,Closed
365,12.16745980008692,68.00213859647693,Open,Open,Closed,Closed,Closed
366,12.200795306388526,68.01590646445274,Open,Open,Closed,Closed,Closed
367,12.234130812690134,68.43817569659961,Open,Open,Closed,Closed,Closed
368,12.267466318991742,72.56890948296925,Open,Open,Closed,Closed,Closed
369,12.30080182529335,64.98515205010696,Open,Closed,Closed,Closed,Closed
