frame,timestamp,anchor_to_bottom_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
341,11.367407648848326,63.24281716742652,Open,Open,Open,Closed,Closed
342,11.400743155149934,63.16741376248794,Open,Open,Open,Closed,Closed
343,11.434078661451542,58.378528311977405,Open,Open,Closed,Closed,Closed
344,11.46741416775315,59.46296644710248,Open,Open,Closed,Closed,Closed
345,11.500749674054758,61.18376041703381,Open,Open,Closed,Closed,Closed
346,11.534085180356366,59.25150964410297,Open,Open,Closed,Closed,Closed
347,11.567420686657975,56.54645380315152,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,54.70129872465726,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,52.21329601865182,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,52.01694428629088,Open,Closed,Closed,Closed,Closed
351,11.700762711864408,58.86755637039649,Open,Open,Closed,Closed,Closed
352,11.734098218166016,61.840874039577294,Open,Open,Closed,Closed,Closed
353,11.767433724467622,67.25695835793903,Open,Open,Open,Closed,Closed
354,11.80076923076923,71.85380347266988,Open,Open,Open,Open,Closed
355,11.834104737070838,72.62100421839224,Open,Open,Open,Open,Closed
356,11.867440243372446,71.18735557893507,Open,Open,Open,Open,Closed
357,11.900775749674054,64.10588359386085,Open,Open,Open,Closed,Closed
358,11.934111255975662,63.25386567126981,Open,Open,Open,Closed,Closed
359,11.96744676227727,65.9042599343874,Open,Open,Open,Closed,Closed
360,12.000782268578876,65.36775073544175,Open,Open,Open,Closed,Closed
361,12.034117774880489,62.70030417292075,Open,Open,Open,Closed,Closed
362,12.067453281182097,58.42475946390009,Open,Open,Closed,Closed,Closed
363,12.100788787483705,61.87638358203624,Open,Open,Closed,Closed,Closed
364,12.13412429378531,57.30193541993971,Open,Open,Closed,Closed,Closed
365,12.16745980008692,59.77519890757058,Open,Open,Closed,Closed,Closed
366,12.200795306388526,60.320775695027024,Open,Open,Closed,Closed,Closed
367,12.234130812690134,61.13139167712059,Open,Open,Closed,Closed,Closed
368,12.267466318991742,64.73052025382742,Open,Open,Open,Closed,Closed
369,12.30080182529335,56.43846251044884,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,61.5800514897835,Open,Open,Closed,Closed,Closed
371,12.367472837896566,66.52797445184723,Open,Open,Open,Closed,Closed
372,12.400808344198174,69.32509433266262,Open,Open,Open,Open,Closed
373,12.43414385049978,70.065370719406,Open,Open,Open,Open,Closed
374,12.467479356801393,71.79895194427029,Open,Open,Open,Open,Closed
375,12.500814863103,71.20114957558854,Open,Open,Open,Open,Closed
376,12.534150369404609,63.76071053208405,Open,Open,Open,Closed,Closed
377,12.567485875706216,66.79963569274803,Open,Open,Open,Closed,Closed
378,12.600821382007824,64.65634076752546,Open,Open,Open,Closed,Closed
379,12.63415688830943,68.06038744487722,Open,Open,Open,Closed,Closed
380,12.667492394611038,66.5029706917002,Open,Open,Open,Closed,Closed
381,12.700827900912646,66.88120361047622,Open,Open,Open,Closed,Closed
382,12.734163407214254,64.73470319785226,Open,Open,Open,Closed,Closed
383,12.767498913515862,62.431665600542814,Open,Open,Closed,Closed,Closed
