frame,timestamp,anchor_to_top_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
236,7.867179487179487,63.465360580138096,Open,Open,Closed,Closed,Closed
237,7.900514993481095,63.53160461181952,Open,Open,Closed,Closed,Closed
238,7.933850499782703,62.15414551232955,Open,Open,Closed,Closed,Closed
239,7.967186006084311,59.9638384662134,Open,Closed,Closed,Closed,Closed
240,8.00052151238592,62.1931365951495,Open,Open,Closed,Closed,Closed
241,8.033857018687527,63.08393786858045,Open,Open,Closed,Closed,Closed
242,8.067192524989135,63.81794088178705,Open,Open,Closed,Closed,Closed
243,8.100528031290743,62.49440643070683,Open,Open,Closed,Closed,Closed
244,8.133863537592351,61.229666905096984,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,62.39002165870691,Open,Open,Closed,Closed,Closed
246,8.200534550195567,61.43288158727612,Open,Closed,Closed,Closed,Closed
247,8.233870056497175,65.75487737086794,Open,Open,Closed,Closed,Closed
248,8.267205562798782,67.00652551597062,Open,Open,Open,Closed,Closed
249,8.30054106910039,70.56862830909508,Open,Open,Open,Open,Closed
250,8.333876575401998,68.30324801562614,Open,Open,Open,Closed,Closed
251,8.367212081703606,71.77462263823828,Open,Open,Open,Open,Closed
252,8.400547588005216,70.68304371894718,Open,Open,Open,Open,Closed
253,8.433883094306823,67.9424402653186,Open,Open,Open,Closed,Closed
254,8.467218600608431,66.67044529060101,Open,Open,Open,Closed,Closed
255,8.50055410691004,67.64982542550632,Open,Open,Open,Closed,Closed
256,8.533889613211647,67.58411117949501,Open,Open,Open,Closed,Closed
257,8.567225119513255,62.51598339565919,Open,Open,Closed,Closed,Closed
258,8.600560625814863,64.63935488723392,Open,Open,Closed,Closed,Closed
259,8.63389613211647,63.367338363497645,Open,Open,Closed,Closed,Closed
260,8.667231638418079,61.61132808140578,Open,Closed,Closed,Closed,Closed
261,8.700567144719686,61.640165892386705,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,60.15316313986912,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,58.35116358489941,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,57.77821750514289,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,60.600262496111384,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,59.58470991602094,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,62.970386183954574,Open,Open,Closed,Closed,Closed
268,8.933915688830943,71.08975791047382,Open,Open,Open,Open,Closed
269,8.967251195132551,69.7660157067462,Open,Open,Open,Closed,Closed
270,9.000586701434159,70.33288548957913,Open,Open,Open,Closed,Closed
271,9.033922207735769,67.83196622434521,Open,Open,Open,Closed,Closed
272,9.067257714037376,66.61353171515681,Open,Open,Open,Closed,Closed
273,9.100593220338984,72.10045411885474,Open,Open,Open,Open,Closed
274,9.13392872664059,68.25963818927714,Open,Open,Open,Closed,Closed
275,9.167264232942198,66.39376290004722,Open,Open,Open,Closed,Closed
276,9.200599739243806,61.82787750971751,Open,Open,Closed,Closed,Closed
277,9.233935245545414,67.56953946717178,Open,Open,Open,Closed,Closed
278,9.267270751847022,67.33778836122785,Open,Open,Open,Closed,Closed
279,9.300606258148632,66.00636220521795,Open,Open,Closed,Closed,Closed
280,9.33394176445024,65.34420024186578,Open,Open,Closed,Closed,Closed
281,9.367277270751847,65.9706700463818,Open,Open,Closed,Closed,Closed
282,9.400612777053457,64.1434912611658,Open,Open,Closed,Closed,Closed
283,9.433948283355065,65.6165392833551,Open,Open,Closed,Closed,Closed
284,9.46728378965667,62.60240253415614,Open,Open,Closed,Closed,Closed
285,9.50061929595828,60.06040746648202,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,59.64488499478175,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,60.18105555105656,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,62.7818900547129,Open,Open,Closed,Closed,Closed
289,9.63396132116471,66.9397052442684,Open,Open,Open,Closed,Closed
290,9.667296827466318,69.27917773003273,Open,Open,Open,Closed,Closed
291,9.700632333767926,73.20846774948693,Open,Open,Open,Open,Closed
292,9.733967840069534,73.56193213548825,Open,Open,Open,Open,Closed
293,9.767303346371143,70.24729046174605,Open,Open,Open,Closed,Closed
294,9.800638852672751,70.89966535050107,Open,Open,Open,Open,Closed
295,9.83397435897436,69.43435030280696,Open,Open,Open,Closed,Closed
296,9.867309865275969,66.81901924081286,Open,Open,Open,Closed,Closed
297,9.900645371577577,69.04334420813149,Open,Open,Open,Closed,Closed
298,9.933980877879184,68.94157571678574,Open,Open,Open,Closed,Closed
299,9.96731638418079,66.32172857787165,Open,Open,Open,Closed,Closed
300,10.000651890482398,65.82230235987419,Open,Open,Closed,Closed,Closed
301,10.033987396784006,67.35431637774131,Open,Open,Open,Closed,Closed
302,10.067322903085614,64.79866363527069,Open,Open,Closed,Closed,Closed
303,10.100658409387222,62.075221420519,Open,Open,Closed,Closed,Closed
304,10.13399391568883,61.67975551660992,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,60.98651474377532,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,59.45034558110866,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,57.624689052802225,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,59.62520611535822,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,64.78799074053191,Open,Open,Closed,Closed,Closed
310,10.33400695349848,67.24241217237726,Open,Open,Open,Closed,Closed
311,10.367342459800089,71.67252531375082,Open,Open,Open,Open,Closed
312,10.400677966101696,71.94720291842785,Open,Open,Open,Open,Closed
313,10.434013472403302,72.5986052404958,Open,Open,Open,Open,Closed
314,10.46734897870491,72.06946236758715,Open,Open,Open,Open,Closed
315,10.500684485006518,70.73838247334103,Open,Open,Open,Open,Closed
316,10.534019991308126,69.67443575356876,Open,Open,Open,Closed,Closed
317,10.567355497609734,68.26549190084312,Open,Open,Open,Closed,Closed
318,10.600691003911342,70.96852488044559,Open,Open,Open,Open,Closed
319,10.63402651021295,68.28536055243511,Open,Open,Open,Closed,Closed
320,10.66736201651456,68.41289281228366,Open,Open,Open,Closed,Closed
321,10.700697522816167,68.33583161108913,Open,Open,Open,Closed,Closed
322,10.734033029117777,66.59825176299354,Open,Open,Open,Closed,Closed
323,10.767368535419385,63.07577605735856,Open,Open,Closed,Closed,Closed
324,10.80070404172099,63.405862427125314,Open,Open,Closed,Closed,Closed
325,10.8340395480226,66.56401102029204,Open,Open,Open,Closed,Closed
326,10.867375054324206,62.92029346142803,Open,Open,Closed,Closed,Closed
327,10.900710560625814,65.85777936467976,Open,Open,Closed,Closed,Closed
328,10.934046066927422,62.85313880381591,Open,Open,Closed,Closed,Closed
329,10.96738157322903,59.65264343779934,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,58.276621412627634,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,64.18110486975822,Open,Open,Closed,Closed,Closed
332,11.067388092133854,66.00279520101157,Open,Open,Closed,Closed,Closed
333,11.100723598435462,70.09934521121158,Open,Open,Open,Closed,Closed
334,11.134059104737071,70.06975289085048,Open,Open,Open,Closed,Closed
335,11.16739461103868,72.13850175605967,Open,Open,Open,Open,Closed
336,11.200730117340289,71.28366159434877,Open,Open,Open,Open,Closed
337,11.234065623641897,69.89388068118974,Open,Open,Open,Closed,Closed
338,11.267401129943504,69.39181153772631,Open,Open,Open,Closed,Closed
339,11.30073663624511,65.72630396760826,Open,Open,Closed,Closed,Closed
340,11.334072142546718,64.54135739118155,Open,Open,Closed,Closed,Closed
341,11.367407648848326,64.47816762181614,Open,Open,Closed,Closed,Closed
342,11.400743155149934,64.74065880885888,Open,Open,Closed,Closed,Closed
343,11.434078661451542,60.02439282724145,Open,Closed,Closed,Closed,Closed
344,11.46741416775315,60.44301346564935,Open,Closed,Closed,Closed,Closed
345,11.500749674054758,62.983441478235726,Open,Open,Closed,Closed,Closed
346,11.534085180356366,62.90169985454469,Open,Open,Closed,Closed,Closed
347,11.567420686657975,62.740814880254526,Open,Open,Closed,Closed,Closed
348,11.600756192959585,59.96191264281657,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,59.231651986240834,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,56.64174930957074,Closed,Closed,Closed,Closed,Closed
351,11.700762711864408,61.44535484350799,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,63.506715579845874,Open,Open,Closed,Closed,Closed
353,11.767433724467622,68.34202204545001,Open,Open,Open,Closed,Closed
354,11.80076923076923,71.67630027241148,Open,Open,Open,Open,Closed
355,11.834104737070838,72.6887011166132,Open,Open,Open,Open,Closed
356,11.867440243372446,71.30016192325938,Open,Open,Open,Open,Closed
357,11.900775749674054,63.88895070926047,Open,Open,Closed,Closed,Closed
358,11.934111255975662,63.41135747642787,Open,Open,Closed,Closed,Closed
359,11.96744676227727,67.05041517944511,Open,Open,Open,Closed,Closed
360,12.000782268578876,66.17609859093648,Open,Open,Open,Closed,Closed
361,12.034117774880489,65.20330006047197,Open,Open,Closed,Closed,Closed
362,12.067453281182097,61.515641897630395,Open,Closed,Closed,Closed,Closed
363,12.100788787483705,66.18757102218186,Open,Open,Open,Closed,Closed
364,12.13412429378531,63.72270163103109,Open,Open,Closed,Closed,Closed
365,12.16745980008692,63.959558118705566,Open,Open,Closed,Closed,Closed
366,12.200795306388526,62.88312478570684,Open,Open,Closed,Closed,Closed
367,12.234130812690134,59.89975696111605,Open,Closed,Closed,Closed,Closed
368,12.267466318991742,65.87593297841939,Open,Open,Closed,Closed,Closed
369,12.30080182529335,58.95909407308284,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,63.151438356980975,Open,Open,Closed,Closed,Closed
371,12.367472837896566,67.16791509172293,Open,Open,Open,Closed,Closed
372,12.400808344198174,71.63990092535184,Open,Open,Open,Open,Closed
373,12.43414385049978,71.35468482449157,Open,Open,Open,Open,Closed
