frame,timestamp,aspect_ratio__mouth_width__nose_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
157,5.233674489352455,0.6905443349908424,Open,Open,Open,Closed,Closed
158,5.267009995654063,0.6260857083513037,Open,Open,Closed,Closed,Closed
159,5.300345501955671,0.6756903814473034,Open,Open,Open,Closed,Closed
160,5.33368100825728,0.5980726952562885,Open,Open,Closed,Closed,Closed
161,5.3670165145588875,0.565760936977971,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,0.6038617810771488,Open,Open,Closed,Closed,Closed
163,5.433687527162103,0.5948933592068953,Open,Open,Closed,Closed,Closed
164,5.467023033463711,0.5803559136782306,Open,Open,Closed,Closed,Closed
165,5.500358539765319,0.5050487433872197,Closed,Closed,Closed,Closed,Closed
166,5.533694046066927,0.5125172793584334,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,0.5128363561201523,Open,Closed,Closed,Closed,Closed
168,5.6003650586701434,0.5240559793124494,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,0.5976142465314732,Open,Open,Closed,Closed,Closed
170,5.667036071273359,0.619457421624706,Open,Open,Closed,Closed,Closed
171,5.700371577574967,0.6361258733640427,Open,Open,Closed,Closed,Closed
172,5.733707083876575,0.7171123835108163,Open,Open,Open,Open,Closed
173,5.767042590178183,0.7037027706507278,Open,Open,Open,Closed,Closed
174,5.8003780964797915,0.7462428347207758,Open,Open,Open,Open,Closed
175,5.833713602781399,0.6568394673399398,Open,Open,Open,Closed,Closed
176,5.867049109083007,0.6579444941518733,Open,Open,Open,Closed,Closed
177,5.900384615384615,0.6427363598363853,Open,Open,Closed,Closed,Closed
178,5.933720121686223,0.6619916659370475,Open,Open,Open,Closed,Closed
179,5.967055627987831,0.682000450171669,Open,Open,Open,Closed,Closed
180,6.000391134289439,0.6362957060156675,Open,Open,Closed,Closed,Closed
181,6.0337266405910475,0.599155002966371,Open,Open,Closed,Closed,Closed
182,6.067062146892655,0.5873149659503271,Open,Open,Closed,Closed,Closed
183,6.100397653194263,0.5356309440968023,Open,Closed,Closed,Closed,Closed
184,6.133733159495871,0.6891259008353585,Open,Open,Open,Closed,Closed
185,6.167068665797479,0.5409248060342706,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,0.6327026467624801,Open,Open,Closed,Closed,Closed
187,6.2337396784006955,0.6007982534794684,Open,Open,Closed,Closed,Closed
188,6.267075184702303,0.6746580366340112,Open,Open,Open,Closed,Closed
189,6.300410691003911,0.6912968750830638,Open,Open,Open,Closed,Closed
190,6.333746197305519,0.735369575264222,Open,Open,Open,Open,Closed
191,6.367081703607127,0.743451893915097,Open,Open,Open,Open,Closed
192,6.400417209908735,0.7741109769857194,Open,Open,Open,Open,Closed
193,6.433752716210343,0.7110085450412992,Open,Open,Open,Closed,Closed
194,6.4670882225119515,0.713294564125041,Open,Open,Open,Open,Closed
195,6.500423728813559,0.68219218047148,Open,Open,Open,Closed,Closed
196,6.533759235115167,0.6503948787582683,Open,Open,Open,Closed,Closed
197,6.567094741416775,0.6349849088136387,Open,Open,Closed,Closed,Closed
198,6.600430247718383,0.6150319541283371,Open,Open,Closed,Closed,Closed
199,6.633765754019991,0.6237211944063271,Open,Open,Closed,Closed,Closed
200,6.667101260321599,0.5907770930432734,Open,Open,Closed,Closed,Closed
201,6.700436766623207,0.5514269693641622,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,0.5642239466441014,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,0.5330458131669069,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,0.5440445722839388,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,0.6020384095302272,Open,Open,Closed,Closed,Closed
206,6.867114298131247,0.6195606556358862,Open,Open,Closed,Closed,Closed
