frame,timestamp,anchor_to_bottom_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
197,6.567094741416775,86.23035171159047,Open,Open,Closed,Closed,Closed
198,6.600430247718383,81.14705769006335,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,81.52399341351975,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,82.84765445877812,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,82.31631905807481,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,84.07941013636956,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,82.98583879720394,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,79.97110460204965,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,88.80007329179004,Open,Open,Closed,Closed,Closed
206,6.867114298131247,90.80106743215666,Open,Open,Closed,Closed,Closed
207,6.900449804432855,94.6999250579963,Open,Open,Open,Closed,Closed
208,6.933785310734463,95.06293771896512,Open,Open,Open,Closed,Closed
209,6.967120817036071,101.29833451537272,Open,Open,Open,Closed,Closed
210,7.000456323337679,97.98310467469994,Open,Open,Open,Closed,Closed
211,7.033791829639287,96.8922560447466,Open,Open,Open,Closed,Closed
212,7.067127335940895,91.70574885642682,Open,Open,Closed,Closed,Closed
213,7.100462842242503,90.36546580188708,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,81.56214980558914,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,81.81247715949976,Open,Closed,Closed,Closed,Closed
216,7.200469361147327,83.70385423067353,Open,Closed,Closed,Closed,Closed
217,7.233804867448935,82.46843413845244,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,81.50725535617812,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,81.30357437655064,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,76.69774257121688,Open,Closed,Closed,Closed,Closed
221,7.367146892655367,78.11370719717858,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,75.70314388644859,Open,Closed,Closed,Closed,Closed
223,7.433817905258583,76.55786735796491,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,81.36800781165155,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,88.26146796124434,Open,Open,Closed,Closed,Closed
226,7.533824424163407,88.84287329345426,Open,Open,Closed,Closed,Closed
227,7.567159930465015,99.54222296248804,Open,Open,Open,Closed,Closed
228,7.600495436766623,97.02483005700194,Open,Open,Open,Closed,Closed
229,7.633830943068231,99.81235221353958,Open,Open,Open,Closed,Closed
230,7.667166449369839,99.76114007069287,Open,Open,Open,Closed,Closed
231,7.700501955671447,95.24377713856464,Open,Open,Open,Closed,Closed
232,7.733837461973055,97.7627700053477,Open,Open,Open,Closed,Closed
233,7.767172968274663,92.4006603457187,Open,Open,Closed,Closed,Closed
234,7.8005084745762705,93.1901138600112,Open,Open,Closed,Closed,Closed
235,7.833843980877879,88.44105708401193,Open,Open,Closed,Closed,Closed
236,7.867179487179487,89.13595049123586,Open,Open,Closed,Closed,Closed
237,7.900514993481095,88.46477681659984,Open,Open,Closed,Closed,Closed
238,7.933850499782703,86.13997542725642,Open,Open,Closed,Closed,Closed
239,7.967186006084311,83.60994370800677,Open,Closed,Closed,Closed,Closed
240,8.00052151238592,84.43865594728689,Open,Closed,Closed,Closed,Closed
241,8.033857018687527,84.8335039730645,Open,Open,Closed,Closed,Closed
242,8.067192524989135,85.70222872923466,Open,Open,Closed,Closed,Closed
243,8.100528031290743,84.88987104286254,Open,Open,Closed,Closed,Closed
244,8.133863537592351,85.65724734728951,Open,Open,Closed,Closed,Closed
245,8.167199043893959,84.5281554201241,Open,Closed,Closed,Closed,Closed
246,8.200534550195567,91.080086607927,Open,Open,Closed,Closed,Closed
247,8.233870056497175,93.65741550451452,Open,Open,Closed,Closed,Closed
248,8.267205562798782,95.77287372028856,Open,Open,Open,Closed,Closed
249,8.30054106910039,101.46852161085296,Open,Open,Open,Closed,Closed
250,8.333876575401998,100.16893648387362,Open,Open,Open,Closed,Closed
251,8.367212081703606,104.0169325427946,Open,Open,Open,Open,Closed
252,8.400547588005216,99.56265325000196,Open,Open,Open,Closed,Closed
253,8.433883094306823,100.16027877652874,Open,Open,Open,Closed,Closed
254,8.467218600608431,96.3788403156401,Open,Open,Open,Closed,Closed
255,8.50055410691004,95.05925922386028,Open,Open,Open,Closed,Closed
256,8.533889613211647,95.74030109266047,Open,Open,Open,Closed,Closed
257,8.567225119513255,89.43441858924879,Open,Open,Closed,Closed,Closed
258,8.600560625814863,90.95248109681344,Open,Open,Closed,Closed,Closed
259,8.63389613211647,88.15555012258343,Open,Open,Closed,Closed,Closed
260,8.667231638418079,87.79147011807777,Open,Open,Closed,Closed,Closed
261,8.700567144719686,84.74973264014847,Open,Open,Closed,Closed,Closed
262,8.733902651021294,79.45246952362031,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,78.47752241301217,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,77.9151765706382,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,81.90595795689302,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,81.66517186829626,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,87.67094378588547,Open,Open,Closed,Closed,Closed
268,8.933915688830943,93.77284645516028,Open,Open,Closed,Closed,Closed
269,8.967251195132551,97.75654116454018,Open,Open,Open,Closed,Closed
270,9.000586701434159,99.57168447302207,Open,Open,Open,Closed,Closed
271,9.033922207735769,101.08656541206425,Open,Open,Open,Closed,Closed
272,9.067257714037376,95.73334978589884,Open,Open,Open,Closed,Closed
273,9.100593220338984,102.23637855609684,Open,Open,Open,Closed,Closed
274,9.13392872664059,97.85302607244152,Open,Open,Open,Closed,Closed
275,9.167264232942198,95.19469466604676,Open,Open,Open,Closed,Closed
276,9.200599739243806,88.3981955313584,Open,Open,Closed,Closed,Closed
277,9.233935245545414,95.69003677268182,Open,Open,Open,Closed,Closed
278,9.267270751847022,93.78494380332958,Open,Open,Closed,Closed,Closed
279,9.300606258148632,90.66848937691874,Open,Open,Closed,Closed,Closed
280,9.33394176445024,90.08810970428284,Open,Open,Closed,Closed,Closed
281,9.367277270751847,88.33518059741371,Open,Open,Closed,Closed,Closed
282,9.400612777053457,86.20554852560764,Open,Open,Closed,Closed,Closed
283,9.433948283355065,88.32547707287097,Open,Open,Closed,Closed,Closed
284,9.46728378965667,84.9692897788679,Open,Open,Closed,Closed,Closed
285,9.50061929595828,81.90914250788407,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,83.01654505217158,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,81.92624010040649,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,84.27235767337862,Open,Closed,Closed,Closed,Closed
289,9.63396132116471,92.9062484249211,Open,Open,Closed,Closed,Closed
290,9.667296827466318,97.23399829650702,Open,Open,Open,Closed,Closed
291,9.700632333767926,102.25273529311706,Open,Open,Open,Closed,Closed
292,9.733967840069534,103.47838583274527,Open,Open,Open,Open,Closed
293,9.767303346371143,101.13659053101073,Open,Open,Open,Closed,Closed
294,9.800638852672751,100.44014096871312,Open,Open,Open,Closed,Closed
295,9.83397435897436,98.82919369378052,Open,Open,Open,Closed,Closed
296,9.867309865275969,97.8047080719177,Open,Open,Open,Closed,Closed
297,9.900645371577577,96.96043387201962,Open,Open,Open,Closed,Closed
298,9.933980877879184,94.87739252989716,Open,Open,Open,Closed,Closed
299,9.96731638418079,92.94230888051987,Open,Open,Closed,Closed,Closed
