frame,timestamp,anchor_to_top_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
229,7.633830943068231,95.7183875939078,Open,Open,Open,Closed,Closed
230,7.667166449369839,95.44622133222606,Open,Open,Open,Closed,Closed
231,7.700501955671447,90.48970690048208,Open,Open,Closed,Closed,Closed
232,7.733837461973055,95.0567838299557,Open,Open,Open,Closed,Closed
233,7.767172968274663,91.92792108536436,Open,Open,Closed,Closed,Closed
234,7.8005084745762705,91.44460430288208,Open,Open,Closed,Closed,Closed
235,7.833843980877879,90.09043835307006,Open,Open,Closed,Closed,Closed
236,7.867179487179487,91.31809308122648,Open,Open,Closed,Closed,Closed
237,7.900514993481095,92.68081760792704,Open,Open,Closed,Closed,Closed
238,7.933850499782703,89.46964864234634,Open,Open,Closed,Closed,Closed
239,7.967186006084311,87.82951750281158,Open,Open,Closed,Closed,Closed
240,8.00052151238592,86.88712822996868,Open,Closed,Closed,Closed,Closed
241,8.033857018687527,88.49715601864206,Open,Open,Closed,Closed,Closed
242,8.067192524989135,87.7171043509496,Open,Open,Closed,Closed,Closed
243,8.100528031290743,86.58686851889858,Open,Closed,Closed,Closed,Closed
244,8.133863537592351,84.35736895290955,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,85.88172017311825,Open,Closed,Closed,Closed,Closed
246,8.200534550195567,86.99270617353653,Open,Closed,Closed,Closed,Closed
247,8.233870056497175,90.22965722057133,Open,Open,Closed,Closed,Closed
248,8.267205562798782,91.82262860690946,Open,Open,Closed,Closed,Closed
249,8.30054106910039,95.73772747392432,Open,Open,Open,Closed,Closed
250,8.333876575401998,94.71390190046137,Open,Open,Open,Closed,Closed
251,8.367212081703606,99.1961381915643,Open,Open,Open,Closed,Closed
252,8.400547588005216,95.02637315076228,Open,Open,Open,Closed,Closed
253,8.433883094306823,95.85552829140605,Open,Open,Open,Closed,Closed
254,8.467218600608431,95.27365637241869,Open,Open,Open,Closed,Closed
255,8.50055410691004,94.78193437391296,Open,Open,Open,Closed,Closed
256,8.533889613211647,96.15101170040828,Open,Open,Open,Closed,Closed
257,8.567225119513255,88.8764252987522,Open,Open,Closed,Closed,Closed
258,8.600560625814863,89.4617928511957,Open,Open,Closed,Closed,Closed
259,8.63389613211647,89.01960425332297,Open,Open,Closed,Closed,Closed
260,8.667231638418079,89.0380335240849,Open,Open,Closed,Closed,Closed
261,8.700567144719686,85.66986064856806,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,83.4899451919355,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,81.79185358285775,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,79.64170932202549,Closed,Closed,Closed,Closed,Closed
265,8.833909169926118,84.0308526812548,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,81.3778176156599,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,86.22615143525317,Open,Closed,Closed,Closed,Closed
268,8.933915688830943,94.28176481972392,Open,Open,Open,Closed,Closed
269,8.967251195132551,96.83261518970752,Open,Open,Open,Closed,Closed
270,9.000586701434159,96.01448994829086,Open,Open,Open,Closed,Closed
271,9.033922207735769,93.77093460774915,Open,Open,Closed,Closed,Closed
272,9.067257714037376,91.92896478080962,Open,Open,Closed,Closed,Closed
273,9.100593220338984,97.99074563417032,Open,Open,Open,Closed,Closed
274,9.13392872664059,95.54579348878748,Open,Open,Open,Closed,Closed
275,9.167264232942198,92.66852767618536,Open,Open,Closed,Closed,Closed
276,9.200599739243806,88.66314856792326,Open,Open,Closed,Closed,Closed
277,9.233935245545414,95.39565446820798,Open,Open,Open,Closed,Closed
278,9.267270751847022,94.96763071677567,Open,Open,Open,Closed,Closed
279,9.300606258148632,95.32485838004564,Open,Open,Open,Closed,Closed
280,9.33394176445024,93.91286516815798,Open,Open,Closed,Closed,Closed
281,9.367277270751847,93.60248613393682,Open,Open,Closed,Closed,Closed
282,9.400612777053457,89.37368407977695,Open,Open,Closed,Closed,Closed
283,9.433948283355065,91.89209501388966,Open,Open,Closed,Closed,Closed
284,9.46728378965667,88.1197595899821,Open,Open,Closed,Closed,Closed
285,9.50061929595828,82.28478225142354,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,80.7609567837809,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,82.30931941461748,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,84.54382798296436,Open,Closed,Closed,Closed,Closed
289,9.63396132116471,91.45070949923236,Open,Open,Closed,Closed,Closed
290,9.667296827466318,93.754441424099,Open,Open,Closed,Closed,Closed
291,9.700632333767926,99.29284018194129,Open,Open,Open,Closed,Closed
292,9.733967840069534,99.3765549525498,Open,Open,Open,Closed,Closed
293,9.767303346371143,96.8910441922367,Open,Open,Open,Closed,Closed
294,9.800638852672751,97.66728545198696,Open,Open,Open,Closed,Closed
295,9.83397435897436,95.78489970493128,Open,Open,Open,Closed,Closed
296,9.867309865275969,96.6321735843551,Open,Open,Open,Closed,Closed
297,9.900645371577577,96.65590580037689,Open,Open,Open,Closed,Closed
298,9.933980877879184,95.09524641924013,Open,Open,Open,Closed,Closed
299,9.96731638418079,94.263157029539,Open,Open,Open,Closed,Closed
300,10.000651890482398,93.71497685038958,Open,Open,Closed,Closed,Closed
301,10.033987396784006,97.07317760803288,Open,Open,Open,Closed,Closed
302,10.067322903085614,90.68671308342272,Open,Open,Closed,Closed,Closed
303,10.100658409387222,86.34388988869902,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,85.29661903651063,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,84.2633588481511,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,82.29237172914426,Open,Closed,Closed,Closed,Closed
