frame,timestamp,anchor_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
188,6.267075184702303,191.70622436259907,Open,Open,Open,Closed,Closed
189,6.300410691003911,193.26986282865596,Open,Open,Open,Closed,Closed
190,6.333746197305519,195.33514293295497,Open,Open,Open,Closed,Closed
191,6.367081703607127,189.09453462837035,Open,Open,Open,Closed,Closed
192,6.400417209908735,196.97630580474063,Open,Open,Open,Closed,Closed
193,6.433752716210343,195.4423681819411,Open,Open,Open,Closed,Closed
194,6.4670882225119515,192.6093724653191,Open,Open,Open,Closed,Closed
195,6.500423728813559,189.60660980159147,Open,Open,Open,Closed,Closed
196,6.533759235115167,186.64334938905864,Open,Open,Open,Closed,Closed
197,6.567094741416775,187.87463295258272,Open,Open,Open,Closed,Closed
198,6.600430247718383,182.30712412149623,Open,Open,Closed,Closed,Closed
199,6.633765754019991,185.8950443789153,Open,Open,Open,Closed,Closed
200,6.667101260321599,188.9152818146464,Open,Open,Open,Closed,Closed
201,6.700436766623207,185.61925944726255,Open,Open,Open,Closed,Closed
202,6.733772272924815,186.05259822230357,Open,Open,Open,Closed,Closed
203,6.767107779226423,184.51627489697637,Open,Open,Closed,Closed,Closed
204,6.800443285528031,173.7251357145916,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,194.3419108911173,Open,Open,Open,Closed,Closed
206,6.867114298131247,198.15050655639544,Open,Open,Open,Open,Closed
207,6.900449804432855,194.28562245193865,Open,Open,Open,Closed,Closed
208,6.933785310734463,191.67748310080455,Open,Open,Open,Closed,Closed
209,6.967120817036071,195.1345539710394,Open,Open,Open,Closed,Closed
210,7.000456323337679,192.1354137782681,Open,Open,Open,Closed,Closed
211,7.033791829639287,191.04315851634232,Open,Open,Open,Closed,Closed
212,7.067127335940895,188.6594163165228,Open,Open,Open,Closed,Closed
213,7.100462842242503,187.1697848081198,Open,Open,Open,Closed,Closed
214,7.1337983485441105,182.39366964842503,Open,Open,Closed,Closed,Closed
215,7.167133854845719,185.2600690591198,Open,Open,Closed,Closed,Closed
216,7.200469361147327,190.00798309201105,Open,Open,Open,Closed,Closed
217,7.233804867448935,186.1414396103797,Open,Open,Open,Closed,Closed
218,7.267140373750543,171.7231641806795,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,177.04343431141672,Open,Open,Closed,Closed,Closed
220,7.333811386353759,152.79562915268184,Closed,Closed,Closed,Closed,Closed
221,7.367146892655367,172.16166533345228,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,157.59933389066268,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,160.3521211357812,Closed,Closed,Closed,Closed,Closed
224,7.467153411560191,185.1625255283848,Open,Open,Closed,Closed,Closed
225,7.500488917861799,186.1728868098384,Open,Open,Open,Closed,Closed
226,7.533824424163407,189.0264636176905,Open,Open,Open,Closed,Closed
227,7.567159930465015,193.3035236646332,Open,Open,Open,Closed,Closed
228,7.600495436766623,190.4108183786667,Open,Open,Open,Closed,Closed
229,7.633830943068231,193.4709064505561,Open,Open,Open,Closed,Closed
230,7.667166449369839,191.78289458364105,Open,Open,Open,Closed,Closed
231,7.700501955671447,194.2457269360453,Open,Open,Open,Closed,Closed
232,7.733837461973055,194.30728307576717,Open,Open,Open,Closed,Closed
233,7.767172968274663,190.56762157465045,Open,Open,Open,Closed,Closed
234,7.8005084745762705,190.2993852043545,Open,Open,Open,Closed,Closed
235,7.833843980877879,185.9234539427377,Open,Open,Open,Closed,Closed
236,7.867179487179487,183.7133860863021,Open,Open,Closed,Closed,Closed
237,7.900514993481095,184.8544408184685,Open,Open,Closed,Closed,Closed
238,7.933850499782703,187.6412076910344,Open,Open,Open,Closed,Closed
239,7.967186006084311,185.39179048560575,Open,Open,Closed,Closed,Closed
240,8.00052151238592,185.45222552965305,Open,Open,Closed,Closed,Closed
241,8.033857018687527,183.02216180105216,Open,Open,Closed,Closed,Closed
242,8.067192524989135,173.31956716726452,Open,Closed,Closed,Closed,Closed
243,8.100528031290743,170.12437353459285,Open,Closed,Closed,Closed,Closed
244,8.133863537592351,183.5461300757804,Open,Open,Closed,Closed,Closed
245,8.167199043893959,176.74789280273194,Open,Open,Closed,Closed,Closed
246,8.200534550195567,188.73400741372885,Open,Open,Open,Closed,Closed
247,8.233870056497175,196.30029952189665,Open,Open,Open,Closed,Closed
248,8.267205562798782,192.07898372126832,Open,Open,Open,Closed,Closed
249,8.30054106910039,197.40067548100484,Open,Open,Open,Open,Closed
250,8.333876575401998,192.6585692418529,Open,Open,Open,Closed,Closed
251,8.367212081703606,197.81707922983136,Open,Open,Open,Open,Closed
252,8.400547588005216,193.30444211035484,Open,Open,Open,Closed,Closed
253,8.433883094306823,192.80024816443265,Open,Open,Open,Closed,Closed
254,8.467218600608431,189.7456831422828,Open,Open,Open,Closed,Closed
255,8.50055410691004,191.3109029159727,Open,Open,Open,Closed,Closed
256,8.533889613211647,186.86811571898207,Open,Open,Open,Closed,Closed
257,8.567225119513255,189.4679237551095,Open,Open,Open,Closed,Closed
258,8.600560625814863,189.41830063613995,Open,Open,Open,Closed,Closed
259,8.63389613211647,189.96052630061735,Open,Open,Open,Closed,Closed
260,8.667231638418079,190.9144847434316,Open,Open,Open,Closed,Closed
261,8.700567144719686,188.51759389063335,Open,Open,Open,Closed,Closed
262,8.733902651021294,172.4209078796622,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,162.5831825184546,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,175.09518416651457,Open,Open,Closed,Closed,Closed
265,8.833909169926118,181.05056658753932,Open,Open,Closed,Closed,Closed
266,8.867244676227727,186.0382291512622,Open,Open,Open,Closed,Closed
267,8.900580182529335,195.09930006877545,Open,Open,Open,Closed,Closed
268,8.933915688830943,191.7091779580623,Open,Open,Open,Closed,Closed
269,8.967251195132551,194.87897195268857,Open,Open,Open,Closed,Closed
270,9.000586701434159,195.42644499427303,Open,Open,Open,Closed,Closed
271,9.033922207735769,204.37757696140815,Open,Open,Open,Open,Closed
272,9.067257714037376,192.10166734072868,Open,Open,Open,Closed,Closed
273,9.100593220338984,196.72827178228417,Open,Open,Open,Closed,Closed
274,9.13392872664059,191.9620544858774,Open,Open,Open,Closed,Closed
