frame,timestamp,anchor_to_top_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
219,7.300475880052151,74.65134312629502,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,73.96682146754986,Closed,Closed,Closed,Closed,Closed
221,7.367146892655367,74.41969765796821,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,73.25611835756226,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,76.10854093626463,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,77.41883805038995,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,80.29206765835369,Open,Open,Closed,Closed,Closed
226,7.533824424163407,83.74366416694608,Open,Open,Closed,Closed,Closed
227,7.567159930465015,93.31885034229464,Open,Open,Open,Open,Closed
228,7.600495436766623,91.37174217932164,Open,Open,Open,Closed,Closed
229,7.633830943068231,93.0070865244099,Open,Open,Open,Open,Closed
230,7.667166449369839,92.98115659503894,Open,Open,Open,Open,Closed
231,7.700501955671447,88.10402013140123,Open,Open,Open,Closed,Closed
232,7.733837461973055,91.58947360233029,Open,Open,Open,Closed,Closed
233,7.767172968274663,86.63277032972637,Open,Open,Open,Closed,Closed
234,7.8005084745762705,87.64248277500123,Open,Open,Open,Closed,Closed
235,7.833843980877879,84.86732804345019,Open,Open,Closed,Closed,Closed
236,7.867179487179487,85.83320808138151,Open,Open,Closed,Closed,Closed
237,7.900514993481095,85.64838155052624,Open,Open,Closed,Closed,Closed
238,7.933850499782703,82.35123047766598,Open,Open,Closed,Closed,Closed
239,7.967186006084311,80.65652171183726,Open,Open,Closed,Closed,Closed
240,8.00052151238592,80.07531962006408,Open,Closed,Closed,Closed,Closed
241,8.033857018687527,81.93946410376861,Open,Open,Closed,Closed,Closed
242,8.067192524989135,82.21603892390597,Open,Open,Closed,Closed,Closed
243,8.100528031290743,80.67932489924124,Open,Open,Closed,Closed,Closed
244,8.133863537592351,79.32296780968787,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,80.64572369424246,Open,Open,Closed,Closed,Closed
246,8.200534550195567,83.93360604644002,Open,Open,Closed,Closed,Closed
247,8.233870056497175,86.9306649717332,Open,Open,Open,Closed,Closed
248,8.267205562798782,89.44568604036675,Open,Open,Open,Closed,Closed
249,8.30054106910039,93.89345835480071,Open,Open,Open,Open,Closed
250,8.333876575401998,92.63288614690576,Open,Open,Open,Open,Closed
251,8.367212081703606,96.24737840310095,Open,Open,Open,Open,Closed
252,8.400547588005216,92.47108018858552,Open,Open,Open,Open,Closed
253,8.433883094306823,92.3101211932505,Open,Open,Open,Open,Closed
254,8.467218600608431,91.28575390687918,Open,Open,Open,Closed,Closed
255,8.50055410691004,90.20924746363492,Open,Open,Open,Closed,Closed
256,8.533889613211647,90.25104646929276,Open,Open,Open,Closed,Closed
257,8.567225119513255,84.28547391321143,Open,Open,Closed,Closed,Closed
258,8.600560625814863,85.08137794568717,Open,Open,Closed,Closed,Closed
259,8.63389613211647,83.08506934315614,Open,Open,Closed,Closed,Closed
260,8.667231638418079,81.68633333896666,Open,Open,Closed,Closed,Closed
261,8.700567144719686,78.74306950612852,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,76.67726200428511,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,74.91658041704333,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,74.16041972469299,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,77.95379703407991,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,77.13841165696691,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,82.98456772639074,Open,Open,Closed,Closed,Closed
268,8.933915688830943,90.421381265049,Open,Open,Open,Closed,Closed
269,8.967251195132551,93.10161002836406,Open,Open,Open,Open,Closed
270,9.000586701434159,93.60139176717236,Open,Open,Open,Open,Closed
271,9.033922207735769,91.4335939562,Open,Open,Open,Closed,Closed
272,9.067257714037376,89.20897686492151,Open,Open,Open,Closed,Closed
273,9.100593220338984,95.4142706321857,Open,Open,Open,Open,Closed
274,9.13392872664059,92.00438867278272,Open,Open,Open,Closed,Closed
275,9.167264232942198,89.58199721131162,Open,Open,Open,Closed,Closed
276,9.200599739243806,85.02426996360074,Open,Open,Closed,Closed,Closed
277,9.233935245545414,90.95203119206847,Open,Open,Open,Closed,Closed
278,9.267270751847022,89.56171603182986,Open,Open,Open,Closed,Closed
279,9.300606258148632,88.46296542016222,Open,Open,Open,Closed,Closed
280,9.33394176445024,86.76452113618043,Open,Open,Open,Closed,Closed
281,9.367277270751847,87.4145499739007,Open,Open,Open,Closed,Closed
282,9.400612777053457,83.27890368253983,Open,Open,Closed,Closed,Closed
283,9.433948283355065,84.22438052761083,Open,Open,Closed,Closed,Closed
284,9.46728378965667,81.19203558224326,Open,Open,Closed,Closed,Closed
285,9.50061929595828,76.84670792193394,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,77.06192562012875,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,78.11520579993498,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,80.91892149684968,Open,Open,Closed,Closed,Closed
289,9.63396132116471,88.24323465957963,Open,Open,Open,Closed,Closed
290,9.667296827466318,90.88375248360794,Open,Open,Open,Closed,Closed
291,9.700632333767926,96.52480122489864,Open,Open,Open,Open,Closed
292,9.733967840069534,96.23191882297948,Open,Open,Open,Open,Closed
293,9.767303346371143,93.93907960859488,Open,Open,Open,Open,Closed
294,9.800638852672751,94.51410709581612,Open,Open,Open,Open,Closed
295,9.83397435897436,92.61019443801904,Open,Open,Open,Open,Closed
296,9.867309865275969,92.36204653027444,Open,Open,Open,Open,Closed
297,9.900645371577577,92.64457230753264,Open,Open,Open,Open,Closed
298,9.933980877879184,90.67609171669794,Open,Open,Open,Closed,Closed
299,9.96731638418079,89.52154727867361,Open,Open,Open,Closed,Closed
300,10.000651890482398,88.6758832438278,Open,Open,Open,Closed,Closed
301,10.033987396784006,90.254441424099,Open,Open,Open,Closed,Closed
302,10.067322903085614,84.46207614033321,Open,Open,Closed,Closed,Closed
303,10.100658409387222,79.73237838226294,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,78.22190900166532,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,76.56488670180411,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,76.23291716664178,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,74.3724487643032,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,77.84380533093731,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,83.14484199291475,Open,Open,Closed,Closed,Closed
310,10.33400695349848,86.02153963079202,Open,Open,Closed,Closed,Closed
311,10.367342459800089,92.86986754474056,Open,Open,Open,Open,Closed
