frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
157,5.233674489352455,70.30824987154779,Open,Closed,Closed,Closed,Closed
158,5.267009995654063,61.13209585387699,Closed,Closed,Closed,Closed,Closed
159,5.300345501955671,70.78703373506168,Open,Closed,Closed,Closed,Closed
160,5.33368100825728,65.49150511503241,Closed,Closed,Closed,Closed,Closed
161,5.3670165145588875,67.18299998500648,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,69.91122561461876,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,69.92963320060016,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,61.18054907204398,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,69.82411985873998,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,69.5747256836525,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,64.40413221926573,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,67.88932135475503,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,66.28203653144902,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,72.04493207830171,Open,Closed,Closed,Closed,Closed
171,5.700371577574967,70.85766656747089,Open,Closed,Closed,Closed,Closed
172,5.733707083876575,68.12235478240986,Open,Closed,Closed,Closed,Closed
173,5.767042590178183,69.46833047148704,Open,Closed,Closed,Closed,Closed
174,5.8003780964797915,72.32304419447436,Open,Closed,Closed,Closed,Closed
175,5.833713602781399,71.23484928985552,Open,Closed,Closed,Closed,Closed
176,5.867049109083007,73.81525103951114,Open,Open,Closed,Closed,Closed
177,5.900384615384615,69.86937555368283,Open,Closed,Closed,Closed,Closed
178,5.933720121686223,68.68526923761063,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,73.59446743138113,Open,Open,Closed,Closed,Closed
180,6.000391134289439,77.618344113359,Open,Open,Closed,Closed,Closed
181,6.0337266405910475,64.70248437620924,Closed,Closed,Closed,Closed,Closed
182,6.067062146892655,65.6544917265577,Closed,Closed,Closed,Closed,Closed
183,6.100397653194263,65.73960057649255,Closed,Closed,Closed,Closed,Closed
184,6.133733159495871,68.33987152938764,Open,Closed,Closed,Closed,Closed
185,6.167068665797479,67.42844531845503,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,63.51150425773311,Closed,Closed,Closed,Closed,Closed
187,6.2337396784006955,67.85831113698279,Open,Closed,Closed,Closed,Closed
188,6.267075184702303,67.79111214647334,Open,Closed,Closed,Closed,Closed
189,6.300410691003911,67.65154388960522,Open,Closed,Closed,Closed,Closed
