frame,timestamp,aspect_ratio_between_lips_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
170,5.667036071273359,0.1725719073464104,Open,Closed,Closed,Closed,Closed
171,5.700371577574967,0.1445360126155245,Open,Closed,Closed,Closed,Closed
172,5.733707083876575,0.1086082751797409,Open,Closed,Closed,Closed,Closed
173,5.767042590178183,0.0932031895620139,Closed,Closed,Closed,Closed,Closed
174,5.8003780964797915,0.1079359789439577,Open,Closed,Closed,Closed,Closed
175,5.833713602781399,0.1254143778267721,Open,Closed,Closed,Closed,Closed
176,5.867049109083007,0.1234525448366777,Open,Closed,Closed,Closed,Closed
177,5.900384615384615,0.0921342097542255,Closed,Closed,Closed,Closed,Closed
178,5.933720121686223,0.0807204327054752,Closed,Closed,Closed,Closed,Closed
179,5.967055627987831,0.0757092517958018,Closed,Closed,Closed,Closed,Closed
180,6.000391134289439,0.1041060984747085,Closed,Closed,Closed,Closed,Closed
181,6.0337266405910475,0.0485168185698086,Closed,Closed,Closed,Closed,Closed
182,6.067062146892655,0.1960077537344171,Open,Closed,Closed,Closed,Closed
183,6.100397653194263,0.210043618055626,Open,Open,Closed,Closed,Closed
184,6.133733159495871,0.1377981380434765,Open,Closed,Closed,Closed,Closed
185,6.167068665797479,0.1847891317136325,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,0.1135486209908904,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,0.1534782470130042,Open,Closed,Closed,Closed,Closed
188,6.267075184702303,0.0897050733126671,Closed,Closed,Closed,Closed,Closed
189,6.300410691003911,0.0909652577173724,Closed,Closed,Closed,Closed,Closed
190,6.333746197305519,0.0566540238192545,Closed,Closed,Closed,Closed,Closed
191,6.367081703607127,0.0657258378043784,Closed,Closed,Closed,Closed,Closed
192,6.400417209908735,0.0743775385594836,Closed,Closed,Closed,Closed,Closed
193,6.433752716210343,0.0654556273746832,Closed,Closed,Closed,Closed,Closed
194,6.4670882225119515,0.115807663278069,Open,Closed,Closed,Closed,Closed
195,6.500423728813559,0.0810214694211619,Closed,Closed,Closed,Closed,Closed
196,6.533759235115167,0.1204141440935102,Open,Closed,Closed,Closed,Closed
197,6.567094741416775,0.0618937503795947,Closed,Closed,Closed,Closed,Closed
198,6.600430247718383,0.0579873315098538,Closed,Closed,Closed,Closed,Closed
199,6.633765754019991,0.0703511908986047,Closed,Closed,Closed,Closed,Closed
200,6.667101260321599,0.0910927071855276,Closed,Closed,Closed,Closed,Closed
201,6.700436766623207,0.1676778963873786,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,0.2048492934979075,Open,Open,Closed,Closed,Closed
203,6.767107779226423,0.1860881194836953,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,0.1720465053408525,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,0.1701010534473836,Open,Closed,Closed,Closed,Closed
206,6.867114298131247,0.151374997273776,Open,Closed,Closed,Closed,Closed
207,6.900449804432855,0.1154891130200039,Open,Closed,Closed,Closed,Closed
208,6.933785310734463,0.0469917267291095,Closed,Closed,Closed,Closed,Closed
