frame,timestamp,anchor_to_nose,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
143,4.766977401129943,120.93251523413404,Open,Open,Closed,Closed,Closed
144,4.800312907431551,118.7247043081994,Open,Closed,Closed,Closed,Closed
145,4.833648413733159,118.87513768696743,Open,Open,Closed,Closed,Closed
146,4.866983920034767,123.75733674321388,Open,Open,Closed,Closed,Closed
147,4.900319426336376,124.66411627391376,Open,Open,Closed,Closed,Closed
148,4.9336549326379835,131.8161348322176,Open,Open,Open,Closed,Closed
149,4.966990438939591,130.69810775047603,Open,Open,Open,Closed,Closed
150,5.000325945241199,125.11728121147308,Open,Open,Closed,Closed,Closed
151,5.033661451542807,116.70364036637218,Open,Closed,Closed,Closed,Closed
152,5.066996957844415,128.23578972482122,Open,Open,Open,Closed,Closed
153,5.100332464146024,108.2461807791398,Closed,Closed,Closed,Closed,Closed
154,5.133667970447632,124.06573922665731,Open,Open,Closed,Closed,Closed
155,5.167003476749239,120.33884644556142,Open,Open,Closed,Closed,Closed
156,5.200338983050847,109.10699659299873,Closed,Closed,Closed,Closed,Closed
157,5.233674489352455,117.59320580807578,Open,Closed,Closed,Closed,Closed
158,5.267009995654063,110.75578686793008,Open,Closed,Closed,Closed,Closed
159,5.300345501955671,112.36685816929712,Open,Closed,Closed,Closed,Closed
160,5.33368100825728,108.45124549592948,Closed,Closed,Closed,Closed,Closed
161,5.3670165145588875,116.39858305164444,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,112.22069334895336,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,111.63800324578202,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,112.0336482065916,Open,Closed,Closed,Closed,Closed
165,5.500358539765319,130.52446247917962,Open,Open,Open,Closed,Closed
166,5.533694046066927,136.28308775933615,Open,Open,Open,Closed,Closed
167,5.567029552368536,130.75233867080806,Open,Open,Open,Closed,Closed
168,5.6003650586701434,130.7261487938678,Open,Open,Open,Closed,Closed
169,5.633700564971751,122.90782494283008,Open,Open,Closed,Closed,Closed
170,5.667036071273359,131.16078899166786,Open,Open,Open,Closed,Closed
171,5.700371577574967,125.340633494868,Open,Open,Closed,Closed,Closed
172,5.733707083876575,115.29336532991816,Open,Closed,Closed,Closed,Closed
173,5.767042590178183,113.1875836543793,Open,Closed,Closed,Closed,Closed
174,5.8003780964797915,112.53551281389862,Open,Closed,Closed,Closed,Closed
175,5.833713602781399,122.66176718175257,Open,Open,Closed,Closed,Closed
176,5.867049109083007,122.59888390178978,Open,Open,Closed,Closed,Closed
177,5.900384615384615,119.84829799638244,Open,Open,Closed,Closed,Closed
178,5.933720121686223,112.42762987051758,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,119.85144600765642,Open,Open,Closed,Closed,Closed
180,6.000391134289439,134.00599017583596,Open,Open,Open,Closed,Closed
181,6.0337266405910475,119.48044425858276,Open,Open,Closed,Closed,Closed
182,6.067062146892655,119.689145581741,Open,Open,Closed,Closed,Closed
183,6.100397653194263,130.53527355668518,Open,Open,Open,Closed,Closed
184,6.133733159495871,118.9761453668958,Open,Open,Closed,Closed,Closed
185,6.167068665797479,132.1213820156841,Open,Open,Open,Closed,Closed
186,6.200404172099087,114.1923391821585,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,127.52985481636736,Open,Open,Closed,Closed,Closed
188,6.267075184702303,113.03135180429535,Open,Closed,Closed,Closed,Closed
189,6.300410691003911,111.72229484506911,Open,Closed,Closed,Closed,Closed
190,6.333746197305519,113.95355702270734,Open,Closed,Closed,Closed,Closed
191,6.367081703607127,100.26447797712936,Closed,Closed,Closed,Closed,Closed
192,6.400417209908735,122.93020358801644,Open,Open,Closed,Closed,Closed
193,6.433752716210343,125.2483758272943,Open,Open,Closed,Closed,Closed
194,6.4670882225119515,124.46948521704796,Open,Open,Closed,Closed,Closed
195,6.500423728813559,121.44710066789996,Open,Open,Closed,Closed,Closed
196,6.533759235115167,121.57748847590744,Open,Open,Closed,Closed,Closed
197,6.567094741416775,118.78203717622328,Open,Open,Closed,Closed,Closed
198,6.600430247718383,117.12990003136734,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,114.27234637259636,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,117.358242760772,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,125.4000234056556,Open,Open,Closed,Closed,Closed
202,6.733772272924815,124.65842175607123,Open,Open,Closed,Closed,Closed
203,6.767107779226423,137.4016329788614,Open,Open,Open,Open,Closed
204,6.800443285528031,132.63473822740923,Open,Open,Open,Closed,Closed
205,6.833778791829639,118.98221248883264,Open,Open,Closed,Closed,Closed
206,6.867114298131247,120.3062864148336,Open,Open,Closed,Closed,Closed
207,6.900449804432855,118.32720772153256,Open,Closed,Closed,Closed,Closed
208,6.933785310734463,106.52810047457844,Closed,Closed,Closed,Closed,Closed
209,6.967120817036071,125.60990709533422,Open,Open,Closed,Closed,Closed
210,7.000456323337679,115.1750651216907,Open,Closed,Closed,Closed,Closed
211,7.033791829639287,124.7202137836615,Open,Open,Closed,Closed,Closed
212,7.067127335940895,124.45832492355092,Open,Open,Closed,Closed,Closed
213,7.100462842242503,123.42417646050048,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,110.4071138064979,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,109.0262142349126,Closed,Closed,Closed,Closed,Closed
216,7.200469361147327,118.96139653248426,Open,Open,Closed,Closed,Closed
217,7.233804867448935,121.13581388154348,Open,Open,Closed,Closed,Closed
218,7.267140373750543,110.41942182792197,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,134.26115219982307,Open,Open,Open,Closed,Closed
220,7.333811386353759,126.91256983685436,Open,Open,Closed,Closed,Closed
221,7.367146892655367,140.44928540997495,Open,Open,Open,Open,Closed
222,7.400482398956975,119.39568605577196,Open,Open,Closed,Closed,Closed
223,7.433817905258583,134.47530431339558,Open,Open,Open,Closed,Closed
224,7.467153411560191,137.08730469658883,Open,Open,Open,Closed,Closed
225,7.500488917861799,124.64680178841526,Open,Open,Closed,Closed,Closed
226,7.533824424163407,132.6819983813498,Open,Open,Open,Closed,Closed
227,7.567159930465015,135.18378533842656,Open,Open,Open,Closed,Closed
228,7.600495436766623,130.3475543029618,Open,Open,Open,Closed,Closed
229,7.633830943068231,119.57978570203278,Open,Open,Closed,Closed,Closed
230,7.667166449369839,118.58385625401544,Open,Closed,Closed,Closed,Closed
231,7.700501955671447,122.06966171924108,Open,Open,Closed,Closed,Closed
232,7.733837461973055,126.77417544614076,Open,Open,Closed,Closed,Closed
233,7.767172968274663,123.25861294452535,Open,Open,Closed,Closed,Closed
234,7.8005084745762705,126.08846226366845,Open,Open,Closed,Closed,Closed
235,7.833843980877879,122.68121443400298,Open,Open,Closed,Closed,Closed
236,7.867179487179487,123.5673276838643,Open,Open,Closed,Closed,Closed
237,7.900514993481095,120.5158108264486,Open,Open,Closed,Closed,Closed
238,7.933850499782703,118.99919138563068,Open,Open,Closed,Closed,Closed
239,7.967186006084311,118.71705123657762,Open,Closed,Closed,Closed,Closed
240,8.00052151238592,123.57438440170743,Open,Open,Closed,Closed,Closed
241,8.033857018687527,135.33827652114786,Open,Open,Open,Closed,Closed
242,8.067192524989135,128.7819571355,Open,Open,Open,Closed,Closed
243,8.100528031290743,123.43248306579537,Open,Open,Closed,Closed,Closed
244,8.133863537592351,132.84940171254544,Open,Open,Open,Closed,Closed
245,8.167199043893959,134.8533698147394,Open,Open,Open,Closed,Closed
246,8.200534550195567,122.00355740080605,Open,Open,Closed,Closed,Closed
247,8.233870056497175,128.0250697461331,Open,Open,Open,Closed,Closed
248,8.267205562798782,114.5784196738182,Open,Closed,Closed,Closed,Closed
249,8.30054106910039,127.0454296495684,Open,Open,Closed,Closed,Closed
250,8.333876575401998,114.33836739291712,Open,Closed,Closed,Closed,Closed
251,8.367212081703606,129.0506014932837,Open,Open,Open,Closed,Closed
252,8.400547588005216,125.26587682029805,Open,Open,Closed,Closed,Closed
253,8.433883094306823,128.07021826189802,Open,Open,Open,Closed,Closed
254,8.467218600608431,128.00473913694475,Open,Open,Open,Closed,Closed
255,8.50055410691004,130.42725578240314,Open,Open,Open,Closed,Closed
256,8.533889613211647,129.8043505601256,Open,Open,Open,Closed,Closed
257,8.567225119513255,120.87656162726608,Open,Open,Closed,Closed,Closed
258,8.600560625814863,123.74688933327587,Open,Open,Closed,Closed,Closed
259,8.63389613211647,124.63483779522916,Open,Open,Closed,Closed,Closed
260,8.667231638418079,128.7352154246774,Open,Open,Open,Closed,Closed
261,8.700567144719686,131.3772154057092,Open,Open,Open,Closed,Closed
262,8.733902651021294,136.66260806859987,Open,Open,Open,Closed,Closed
263,8.767238157322902,128.7827745868192,Open,Open,Open,Closed,Closed
264,8.80057366362451,135.26332521582222,Open,Open,Open,Closed,Closed
265,8.833909169926118,139.258644968255,Open,Open,Open,Open,Closed
266,8.867244676227727,134.51750708565075,Open,Open,Open,Closed,Closed
267,8.900580182529335,132.85434855869795,Open,Open,Open,Closed,Closed
