frame,timestamp,aspect_ratio__mouth_width__inside_lips,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
147,4.900319426336376,6.35645450616056,Closed,Closed,Closed,Closed,Closed
148,4.9336549326379835,5.679429298773188,Closed,Closed,Closed,Closed,Closed
149,4.966990438939591,5.855010688269016,Closed,Closed,Closed,Closed,Closed
150,5.000325945241199,6.343344478217234,Closed,Closed,Closed,Closed,Closed
151,5.033661451542807,8.623981504781806,Closed,Closed,Closed,Closed,Closed
152,5.066996957844415,13.71002209634809,Closed,Closed,Closed,Closed,Closed
153,5.100332464146024,7.709876177304743,Closed,Closed,Closed,Closed,Closed
154,5.133667970447632,9.650523130125274,Closed,Closed,Closed,Closed,Closed
155,5.167003476749239,12.96919426949878,Closed,Closed,Closed,Closed,Closed
156,5.200338983050847,14.256520122844565,Closed,Closed,Closed,Closed,Closed
157,5.233674489352455,9.839698782541443,Closed,Closed,Closed,Closed,Closed
158,5.267009995654063,12.094521761830803,Closed,Closed,Closed,Closed,Closed
159,5.300345501955671,10.175574071879566,Closed,Closed,Closed,Closed,Closed
160,5.33368100825728,8.212560736223134,Closed,Closed,Closed,Closed,Closed
161,5.3670165145588875,8.143716716046765,Closed,Closed,Closed,Closed,Closed
162,5.400352020860495,14.94180128841815,Closed,Closed,Closed,Closed,Closed
163,5.433687527162103,13.479399648205147,Closed,Closed,Closed,Closed,Closed
164,5.467023033463711,19.807069445023917,Open,Closed,Closed,Closed,Closed
165,5.500358539765319,3.93767775756841,Closed,Closed,Closed,Closed,Closed
166,5.533694046066927,5.247901141629694,Closed,Closed,Closed,Closed,Closed
167,5.567029552368536,4.708233047790226,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,5.5141096657035575,Closed,Closed,Closed,Closed,Closed
169,5.633700564971751,5.454588716948876,Closed,Closed,Closed,Closed,Closed
170,5.667036071273359,5.7946859102197905,Closed,Closed,Closed,Closed,Closed
171,5.700371577574967,6.918690933172944,Closed,Closed,Closed,Closed,Closed
172,5.733707083876575,9.207401538649362,Closed,Closed,Closed,Closed,Closed
173,5.767042590178183,10.72924654938592,Closed,Closed,Closed,Closed,Closed
174,5.8003780964797915,9.264751288532045,Closed,Closed,Closed,Closed,Closed
175,5.833713602781399,7.973567443608775,Closed,Closed,Closed,Closed,Closed
176,5.867049109083007,8.100278542843778,Closed,Closed,Closed,Closed,Closed
177,5.900384615384615,10.853731775282714,Closed,Closed,Closed,Closed,Closed
178,5.933720121686223,12.388437059656278,Closed,Closed,Closed,Closed,Closed
179,5.967055627987831,13.20842534142507,Closed,Closed,Closed,Closed,Closed
180,6.000391134289439,9.605585212118378,Closed,Closed,Closed,Closed,Closed
181,6.0337266405910475,20.611409187128505,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,5.101838988242074,Closed,Closed,Closed,Closed,Closed
183,6.100397653194263,4.760915895741088,Closed,Closed,Closed,Closed,Closed
184,6.133733159495871,7.256992105978175,Closed,Closed,Closed,Closed,Closed
185,6.167068665797479,5.411573671711919,Closed,Closed,Closed,Closed,Closed
186,6.200404172099087,8.806800041017016,Closed,Closed,Closed,Closed,Closed
187,6.2337396784006955,6.515581324793667,Closed,Closed,Closed,Closed,Closed
188,6.267075184702303,11.147641522063076,Closed,Closed,Closed,Closed,Closed
189,6.300410691003911,10.99320801252478,Closed,Closed,Closed,Closed,Closed
190,6.333746197305519,17.65099692107198,Open,Closed,Closed,Closed,Closed
191,6.367081703607127,15.214716668600344,Closed,Closed,Closed,Closed,Closed
192,6.400417209908735,13.444919250725778,Closed,Closed,Closed,Closed,Closed
193,6.433752716210343,15.277525250438233,Closed,Closed,Closed,Closed,Closed
194,6.4670882225119515,8.63500714627901,Closed,Closed,Closed,Closed,Closed
195,6.500423728813559,12.342407600655177,Closed,Closed,Closed,Closed,Closed
196,6.533759235115167,8.304672242020244,Closed,Closed,Closed,Closed,Closed
197,6.567094741416775,16.156720086713023,Open,Closed,Closed,Closed,Closed
198,6.600430247718383,17.2451460338379,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,14.214400456152518,Closed,Closed,Closed,Closed,Closed
200,6.667101260321599,10.977827214678229,Closed,Closed,Closed,Closed,Closed
201,6.700436766623207,5.963815276461637,Closed,Closed,Closed,Closed,Closed
202,6.733772272924815,4.881637534230572,Closed,Closed,Closed,Closed,Closed
203,6.767107779226423,5.3737981918164195,Closed,Closed,Closed,Closed,Closed
204,6.800443285528031,5.812381937190963,Closed,Closed,Closed,Closed,Closed
