frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,aspect_ratio_between_lips_to_mouth_width,aspect_ratio_top_lip_heigh_to_mouth_width,aspect_ratio_bottom_lip_heigh_to_mouth_width,aspect_ratio__mouth_width__nose_to_chin,aspect_ratio__mouth_width__outside_lips,aspect_ratio__mouth_width__inside_lips,anchor_to_top_lip_top,anchor_to_bottom_lip_bottom,anchor_to_top_lip_bottom,anchor_to_bottom_lip_top,anchor_to_top_lip_top_center,anchor_to_top_lip_bottom_center,anchor_to_bottom_lip_top_center,anchor_to_bottom_lip_bottom_center,anchor_to_chin,anchor_to_nose
62,2.0668013906996956,0.4381943604679076,0.128708549952128,0.11015677479640519,0.16781541768361163,0.5529354149290904,0.5529354149290904,7.769491617860206,70.22691391351223,61.34198890543617,60.77984844744357,57.15618487889495,86.01506272547243,80.17435213389169,77.69512584204236,82.02358341431753,193.71444795250335,129.2712989785838
63,2.100136897001304,0.39037433326878307,0.10824807230329832,0.10249621928971626,0.15308589195206787,0.6044867321426557,0.6044867321426557,9.23803979804941,68.09863170293622,60.40404092885003,59.91256461281423,56.66746241179246,85.81489651919492,80.73576375928602,78.66758975097264,81.93262872797953,186.374015403155,120.40956239383456
64,2.133472403302912,0.4130295520790312,0.0546783346203621,0.12159268520408056,0.16651301431846297,0.6111739384455134,0.6111739384455134,18.288779403087418,72.82509664727192,58.74477019077782,60.884935344862804,59.44472756962712,86.76980041202299,80.35500725934284,78.84540305399179,79.63703842901879,176.69338908358262,124.41130904041194
65,2.1668079096045196,0.3374167957310042,0.06385540792063375,0.1270770113541202,0.1716715889039847,0.586193935194415,0.586193935194415,15.660380734595034,71.6093676928963,58.58461671714043,60.56299105946826,57.94500957130967,88.18777618587345,81.16042115980838,79.30064818310979,80.5592400106099,192.29033996956514,121.94490908204992
66,2.2001434159061275,0.4084403478565683,0.15759068812836338,0.13690604128178524,0.19851375985858857,0.5367947952778053,0.5367947952778053,6.345552594995102,73.40987101397174,55.771088903613105,59.18687748175691,52.41382743210894,87.52511822760036,78.28908166538805,73.208858054813,77.01009191635528,181.85553150479453,128.94541850768076
67,2.233478922207736,0.38723435537943285,0.16144968591479186,0.10542739829110512,0.14182765546195022,0.5584377243172828,0.5584377243172828,6.1938801201989895,68.16455867324366,54.130739694516635,58.6591118821342,52.31468013430597,81.8215507392413,75.57126592356215,71.32868332514218,73.56192616788607,175.0496085025668,119.00112673304491
68,2.2668144285093437,0.45851630668453924,0.08957851492763867,0.1453585263487493,0.2008953889825934,0.5855215339871426,0.5855215339871426,11.163391141366853,70.34866403395782,57.32258350300708,56.62220019792743,53.89129259869423,82.83684027062763,74.98269220137075,72.80116304724923,76.1956114960567,166.57780231974502,121.90283402326486
69,2.3001499348109515,0.45412703478139815,0.18769717813401518,0.10137728501967631,0.1680150702119566,0.5862135183564803,0.5862135183564803,5.327730602779778,69.83593709680976,60.72492906991676,60.8846721614976,55.73875622855367,84.37053273489289,78.47785924634108,74.73423485156374,80.06302342626333,173.9779561994945,122.74755008754909
70,2.33348544111256,0.5482515833048521,0.20150372638758604,0.11110843202419714,0.17360692503780803,0.5369267255503006,0.5369267255503006,4.962687380165524,73.76574100043403,58.46495518700069,62.26367970291511,54.50510150968569,84.72687505460975,77.47553119215557,72.00384592629001,76.43423621810747,169.71106628998078,135.6831318240625
71,2.3668209474141677,0.4813869043685562,0.23823500694929683,0.10167622326859921,0.18816970065666433,0.5520262881220657,0.5520262881220657,4.197535923898994,69.79735259858728,59.619051460525206,60.321460113917965,52.331100560284,81.1698468715766,74.86966484624932,69.7551058267641,76.3457127062936,167.07682570085677,121.55743961351226
72,2.4001564537157756,0.5204792764487368,0.16851224643228704,0.09516830281357107,0.17532981326731523,0.5608444269295236,0.5608444269295236,5.934286802127631,64.20567772497537,55.4690255303814,55.744589615396364,51.00981807108283,77.15274292321632,72.10062446410527,68.50362299817223,72.75237835901768,160.9019277632225,119.99009557594744
73,2.433491960017383,0.41292663821180103,0.1510820596620084,0.11331154474650633,0.19387040486373927,0.5691137691353888,0.5691137691353888,6.618919560913713,61.964325473385955,55.740782374608436,53.094683079636596,49.51723625709381,75.41257057267083,69.92322613761478,67.52999300341266,73.0974181379423,166.31433738504404,108.84047960203043
74,2.4668274663189917,0.3028531601230592,0.28459721952937383,0.07954417059128649,0.13080316630419006,0.6784897835104539,0.6784897835104539,3.513737771766207,71.4030309352228,86.06333250324957,66.61642878728195,72.6031637573369,91.62468565510859,88.7483702021323,96.12363799656123,107.45154303111661,212.57173996863474,109.76597074773782
75,2.5001629726205996,0.3549885916838543,0.12581928295369113,0.09795771327398617,0.18199522001184607,0.584416026905813,0.584416026905813,7.947907320120863,61.50232560413047,56.53990204426623,53.92037377180429,51.022757453897455,77.73462946485478,73.42150645315236,71.66878811208113,76.85508284751339,180.33066488149953,107.0003444459065
76,2.5334984789222075,0.35635250011418734,0.1620892375533339,0.08426618207032052,0.15511010734025726,0.5946817940820877,0.5946817940820877,6.169441075142078,65.52081250712602,63.440524111577936,58.572941099679056,55.59964367564244,82.91992548795376,79.17599628853836,77.81738071710737,83.83805376563146,193.6681562260971,112.85294997674603
