frame,timestamp,behind_hand,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9
30,1.0000361010830325,False,76.53757247260981,67.91170738539859,67.68308503607086,67.60177512462228,90.82400563727631,85.98837130682264,86.37129152675674,87.66413177577246,165.21803775617238,127.40486646906389,65.76473218982953,60.74537019394976,58.855755878248644,58.137767414994535,83.16850365372699,79.30952023559341,78.02563681252464,81.32035415564789,171.4322023425004,117.5925167687128,164.1097193952875,62.00806399170998,19.0,5.0990195135927845,25.0,127.09838708654017
31,1.0333706377858003,False,75.59100475585703,69.12307863514182,68.24954212300622,68.59300255857006,91.0823802938856,86.83317338436964,88.45903006477066,89.62700485902673,162.9846618550347,125.93649193144932,66.64833081180653,60.08327554319921,60.01666435249463,58.309518948453004,84.11896337925236,80.39900496896712,78.16009211867653,80.77747210701756,169.44615663980107,118.92854997854805,166.04818577750254,62.0,18.0,3.605551275463989,26.0,125.25573839150046
32,1.066705174488568,False,77.41446893184762,68.30812543175226,67.26812023536856,67.1863081289633,94.2443632266673,88.68483523128404,89.08984229416954,90.70832376358854,164.34719346554112,128.70120434556935,65.5133574166368,60.53924347066124,58.05170109479997,56.08029957123981,83.81527307120105,80.39900496896712,79.00632886041473,83.81527307120105,169.95587662684687,118.3427226321923,168.02678357928536,61.00819617067857,20.024984394500787,7.0710678118654755,26.019223662515376,121.2023102090055
33,1.1000397111913358,False,75.8023746329889,66.40783086353596,65.96969000988257,65.12296062065974,93.04837451562494,88.11923740024082,87.05170877128145,89.73850901368932,172.03778654702577,130.17680284904833,65.86349520030045,61.326992425847855,58.05170109479997,57.0087712549569,85.38149682454625,81.39410298049853,81.05553651663777,85.70297544426332,175.35392781457733,119.00420160649792,168.1071087134628,62.03224967708329,19.0,11.0,25.0,127.00393694685216
34,1.1333742478941036,False,76.8505042273634,68.54195795277518,66.21933252457322,65.03076195155643,92.84934033152847,87.47571091451616,87.0,90.44335243676011,171.04677722775136,130.29965464267354,67.95586803212802,61.773780845922005,57.723478758647246,55.036351623268054,84.50443775329198,79.76214641043707,78.16009211867653,85.61541917201598,174.0028735394907,120.61509026651682,165.07574019219177,62.00806399170998,19.0,16.0312195418814,28.0178514522438,121.01652779682617
35,1.1667087845968713,False,77.93587107359485,68.87670143089025,67.35725647619564,64.03124237432849,92.70382947861431,86.12200647918046,85.09406559801923,89.5377015563835,169.59363195591985,128.3160161476345,69.40461079784254,63.631753079732135,58.82176467941097,56.142675390472796,85.0881895447306,80.60397012554654,78.31347265956222,86.00581375697809,172.70784579746226,122.78843593759146,163.02760502442524,60.00833275470999,18.027756377319946,23.021728866442675,27.018512172212592,118.03812943282352
36,1.200043321299639,False,76.55063683601855,67.54257916307313,67.67569726275453,63.12685640834652,91.3892772703669,87.55569655939013,84.1486779456457,88.25531145489205,166.58031096140985,129.07362240210043,70.0,62.177166226839255,59.23681287847955,55.14526271584895,85.492689745966,79.55501241279521,78.23042886243178,84.86459803710851,166.48123017325406,124.47088012864695,162.00308639035245,62.0,15.033296378372908,26.019223662515376,25.019992006393608,115.00434774390054
37,1.2333778580024068,False,76.84399781375251,68.0,65.7875368135941,62.20128616033595,90.37698822156003,84.64632301523794,82.21921916437786,87.46427842267951,166.0903368652132,127.7810627597063,71.40028011149536,65.5133574166368,60.74537019394976,57.3149195236284,85.90692637965812,80.2807573457052,78.40918313565064,86.4060183089118,166.88319268278636,123.69316876852982,160.0124995117569,60.0,17.0,27.0,27.018512172212592,112.0
38,1.2667123947051746,False,77.10382610480494,69.83552104767315,66.73080248281148,63.50590523722971,92.70382947861431,86.58521813797087,84.48076704197234,90.07774419910837,165.94577427581578,127.47548783981962,69.65629906907199,63.28506932918696,58.69412236331676,54.45181356024793,84.52810183601665,79.81227975693966,77.52418977325722,85.492689745966,169.30741271426953,121.65936051122412,161.0,58.0,16.0312195418814,30.0,26.019223662515376,112.16059914247963
39,1.3000469314079424,False,77.10382610480494,71.8679344353238,66.73080248281148,63.63961030678928,94.02127418834527,87.55569655939013,85.84287972802403,93.03762679690406,167.72000476985446,128.76334882255898,67.94115100585212,61.032778078668514,56.79788728465171,51.478150704935004,83.72574275573791,77.79460135510689,74.54528824815154,83.6301381082203,167.45148551147582,120.20815280171308,159.02829936838285,56.0357029044876,17.029386365926403,33.0,28.0178514522438,109.22453936730518
