Frames,T095258,T495558,T636709,T094955,T051358,L4955,L5258,L0958,L0952
2665,77.5,795.0,1.0,8438.0,6741.5,136.49908424601244,46.09772228646444,111.9866063420086,158.06960492137634
2666,1.0,796.0,77.0,8436.0,7007.0,138.10141201305655,46.69047011971501,110.64357188738983,157.33403954643762
2667,44.5,873.0,2.5,8294.0,5945.5,136.13228860193308,45.70557952810576,109.04127658827184,154.74172029546526
2668,98.0,753.0,62.5,8056.5,6718.0,133.98880550254935,45.5411901469428,109.04127658827184,154.55743269089325
2669,4.0,775.0,76.5,8099.0,7032.0,129.87686476043376,44.721359549995796,112.78741064498288,157.50872991678906
2670,2.0,712.0,14.5,8156.0,7229.5,130.23056476879765,44.91102314577124,114.33722053644648,159.24823389915505
2671,20.5,867.0,6.0,8192.0,6916.0,132.19682295728592,47.853944456021594,110.81967334368028,158.67261893597143
2672,135.5,767.0,34.0,7592.5,7182.5,122.8087944733601,47.51841748206689,111.19802156513397,158.67261893597143
2673,73.0,913.0,104.5,7683.5,6172.5,122.98373876248843,50.35871324805669,110.16805344563369,160.51479682571323
2674,244.0,743.0,101.0,7335.0,7145.5,115.12167476196652,53.46026561849464,114.54256850621083,167.88686666919483
2675,380.0,834.0,143.0,7026.0,4322.5,108.664621657649,55.226805085936306,114.54256850621083,169.49926253526885
2676,388.5,872.5,137.0,6751.0,5101.5,109.77249200050075,63.387695966961914,107.70793842609746,170.83617883809038
2677,573.0,1069.5,333.5,6746.5,3564.0,102.82509421342633,69.26037828369117,111.08555261599052,179.86939706353607
2678,467.0,985.5,164.5,6039.0,3018.0,100.62305898749054,68.73136110975832,100.96038827183659,169.31922513406445
2679,290.0,924.0,165.0,5494.0,1863.0,93.38094023943002,65.92419889539804,98.2344135219425,164.0
2680,400.0,800.0,292.0,5414.0,2448.0,94.14881836751856,60.8276253029822,98.37174391053561,158.86157496386593
2681,313.5,1004.0,257.5,4925.0,471.0,92.64987857520376,65.62011886609167,84.64632301523794,150.02999700059985
2682,336.5,873.5,278.0,5931.0,2544.5,99.24716620639605,57.87054518492115,102.20078277586722,159.8311609167624
2683,35.5,647.0,235.5,5748.0,2892.0,98.48857801796105,48.05205510693585,103.58571330062848,151.63442880823604
2684,138.0,510.0,90.0,6089.5,3230.5,105.32331175955302,44.721359549995796,105.99056561788883,150.65855435387664
2685,7.5,406.5,24.0,6453.5,4969.0,113.1591799192624,42.20189569201838,106.96261028976434,149.164338901763
2686,43.5,690.5,26.0,8396.0,5677.0,124.95199078045935,49.8196748283246,123.35720489699821,173.1733235807409
2687,44.5,1201.0,72.5,9098.5,5139.5,141.79210133149166,57.0701322935211,111.40017953306898,168.46661390317072
2688,42.0,1076.0,64.5,9259.0,5301.0,149.25481566770299,51.419840528729765,109.65856099730654,161.07451691686057
2689,125.0,933.0,112.5,9310.0,6072.0,153.37535656030275,48.507731342539614,109.23827168167757,157.70859202973057
2690,109.5,765.5,130.0,9255.5,6530.5,154.35349040433132,42.20189569201838,110.02272492535349,152.190669884852
2691,136.0,1028.0,41.0,9105.0,6330.0,148.66068747318505,43.174066289845804,108.67382389517726,151.79591562357663
2692,48.5,1084.5,40.0,8968.0,5821.0,145.91093173576817,45.70557952810576,108.06016842481785,153.7595525487766
2693,22.0,970.5,121.0,9055.5,6110.5,144.15616532080756,43.93176527297759,112.17842929904127,156.1089363233252
2694,81.5,881.0,99.5,8815.5,6625.0,141.01418368376991,44.91102314577124,112.61438629233834,157.50872991678906
2695,75.0,689.0,11.0,8018.0,6594.5,130.41855696180662,41.773197148410844,112.44998888394787,154.20765220960988
2696,10.0,793.5,42.5,8039.5,6022.0,133.3641631023867,44.721359549995796,108.67382389517726,153.39491516996253
2697,56.0,713.5,13.0,7783.0,6453.0,129.43724348115578,44.721359549995796,109.23827168167757,153.95129099815955
2698,77.5,747.0,65.5,7622.5,6569.5,124.53513560437472,49.8196748283246,110.42191811411355,160.22796260328596
2699,55.5,647.5,160.0,7091.5,5694.0,111.19802156513397,50.00999900019995,115.91807451816995,165.92166826548
2700,5.5,774.0,83.0,6996.0,5694.5,106.30145812734649,58.05170109479997,117.08543888972702,175.13708916160505
2701,285.5,949.5,49.0,6818.0,3551.5,104.39348638684312,60.01666435249463,113.05308487608819,172.93062192682936
2702,129.0,494.0,85.5,6916.0,5606.0,107.20074626605917,56.293871780150276,119.81652640600127,176.08236708995025
2703,62.5,627.0,60.0,7230.0,5852.0,113.5649593844862,55.90169943749474,116.29703349613007,172.19175357722565
2704,99.0,772.0,84.0,7393.0,5375.0,117.38824472663352,55.31726674375732,112.96902230257638,168.2676439485619
2705,93.5,430.0,126.0,7372.5,6506.0,118.84864324004712,50.21951811795888,117.08543888972702,167.28717822953436
2706,50.0,624.0,75.0,7849.0,5883.5,122.78436382536663,50.99019513592785,117.6860229593982,168.67127793433
2707,114.0,606.0,157.5,8153.5,6758.5,122.48265183282079,52.392747589718944,123.35720489699821,175.72706109191037
2708,25.0,440.5,100.0,8022.5,6428.0,125.51493934986385,49.24428900898052,120.83045973594572,170.07351351694948
2709,100.0,417.0,126.0,7855.0,6754.0,124.33824833895642,50.00999900019995,119.68291440301745,169.6732153287607
2710,4.0,265.0,33.0,7855.0,7349.0,122.48265183282079,44.721359549995796,123.96773773849388,168.68906307167634
2711,30.5,493.5,15.5,7974.0,6610.5,121.82364302548172,49.64876634922564,122.8087944733601,172.45579143653018
2712,50.0,743.0,12.0,7837.0,6359.0,120.61923561356207,53.9351462406472,117.71151175649729,171.64206943520577
2713,170.0,1113.0,121.0,7983.0,5488.0,121.80722474467596,62.96824596572466,112.80514172678478,175.72706109191037
2714,189.5,836.0,34.0,8013.0,4307.0,125.1718818265508,60.207972893961475,114.72575996697516,174.8742405273001
2715,63.0,785.5,10.5,7435.0,5022.0,116.41735265844177,55.31726674375732,114.23659658795863,169.5464538113375
2716,114.0,633.0,73.5,7605.5,5571.0,123.22743201089601,49.47726750741192,113.35784048754634,162.8066337714775
2717,157.5,822.5,58.5,7940.0,5526.5,126.53062870309307,50.96076922496363,112.80514172678478,163.71316379570703
2718,104.0,815.0,114.0,8680.0,5547.0,134.6291201783626,50.695167422546305,116.92732785794773,167.6007159889241
2719,42.0,1003.0,75.0,8613.0,5508.0,138.51353724455961,49.47726750741192,109.88175462741756,159.3549497191725
2720,181.5,855.0,160.5,8745.5,5796.0,142.20056258679148,46.57252408878007,111.00450441310929,157.4960316960399
2721,73.0,840.0,119.5,8640.0,5690.0,143.56183336806478,43.93176527297759,108.67382389517726,152.5909564816998
2722,78.0,769.5,166.5,8963.0,6876.0,142.57980221616245,41.97618372363071,114.93476410555685,156.8948692596415
2723,107.5,730.0,113.0,8830.0,6859.5,138.85243966167826,41.97618372363071,116.72617529928752,158.67261893597143
2724,80.0,922.0,156.5,8957.0,6892.5,137.31715115017496,46.09772228646444,117.08543888972702,163.1686244349691
2725,43.5,1003.5,52.0,9124.5,6129.0,140.61649974309557,46.87216658103186,115.52056094046635,162.3884232326923
2726,18.0,1011.0,66.5,8802.5,6010.0,137.48090776540573,45.89117562233506,113.35784048754634,159.24823389915505
2727,25.5,1242.5,9.0,9029.0,5836.0,137.87313008704777,50.80354318352215,112.96902230257638,163.77118183612157
2728,92.5,992.0,44.0,9009.0,6201.5,140.24621207005913,47.67598976424087,114.33722053644648,161.99382704288456
2729,63.5,1254.0,62.5,8890.0,5095.0,140.81193131265547,47.853944456021594,108.4665847162157,156.31058825300352
2730,130.0,1467.0,58.5,9284.0,4616.0,139.26952286842948,50.99019513592785,112.29425630903836,163.24827717314508
2731,115.0,1565.0,28.5,9391.5,4355.0,142.20056258679148,50.99019513592785,110.11357772772621,161.07451691686057
2732,90.0,1601.5,49.0,9551.5,3700.0,143.75326083258076,48.83646178829912,110.63453348751464,159.45218719101973
2733,100.0,1773.5,52.5,9615.0,3339.5,142.20056258679148,52.172789842982326,110.35397591387454,162.50538452617502
2734,4.0,1571.0,87.5,9387.0,3426.0,140.81193131265547,47.29693436154187,111.08555261599052,158.38244852255568
2735,157.5,1516.5,79.0,9418.0,2969.5,141.01418368376991,46.09772228646444,112.36102527122117,158.39823231336896
2736,118.5,1782.0,25.0,9261.0,2030.0,137.6735268670052,49.24428900898052,108.93117092916977,158.14234094637652
2737,120.5,1667.0,165.5,9511.0,3349.0,138.6542462386205,46.32493928760188,113.6001760562016,159.89058759038946
2738,81.0,1846.5,110.5,9811.5,2051.0,142.57980221616245,46.32493928760188,112.08925015361643,158.39823231336896
2739,120.0,1543.0,157.5,9471.0,2612.0,140.81193131265547,43.41658669218482,113.22543883774529,156.60459763365824
2740,44.0,1749.0,108.5,9771.0,2304.0,140.61649974309557,45.60701700396552,114.56002793295748,160.1624175641714
2741,88.0,1778.0,123.5,9374.0,1552.5,140.81193131265547,45.35416188179427,108.24047302187847,153.57408635573907
2742,43.5,1850.0,138.0,9509.5,1842.0,142.97202523570826,47.80167361086848,107.56393447619885,155.36087023443193
2743,70.0,1746.0,158.5,9116.0,1173.0,139.48835076808385,48.08326112068523,105.77334257741882,153.8440769090575
2744,49.0,1509.0,159.5,8727.5,1778.0,135.14806694880988,47.53945729601885,107.00467279516349,154.53802121160993
2745,28.5,1568.0,96.0,8729.0,1932.0,135.9154148726332,48.76474136094644,105.51303237041384,154.27572718998928
2746,92.5,1572.5,61.0,8374.0,1473.0,130.41855696180662,49.24428900898052,104.546640309481,153.7693077307692
2747,16.5,1470.0,13.5,8454.0,1799.0,134.16407864998737,48.05205510693585,104.1393297462587,152.190669884852
2748,127.5,1272.5,183.0,7885.0,2373.0,129.43724348115578,46.57252408878007,102.18121158021175,148.70776711389354
2749,104.5,1087.0,177.5,7827.0,719.0,130.04999038831184,47.80167361086848,103.81233067415451,151.58495967608397
2750,183.5,1407.0,6.0,7938.0,510.0,127.73801313626261,53.150729063673246,102.88342918079665,155.95512174981621
2751,144.0,1831.5,51.5,8266.0,412.0,129.43724348115578,67.08203932499369,99.46356116689167,166.50825805346713
2752,373.0,2716.0,249.0,9620.0,603.0,142.57980221616245,83.02409288875127,97.01546268507923,179.84715733088473
2753,438.5,3173.0,340.0,9940.5,194.0,146.15402833996743,89.94442728707543,92.89241088485109,182.58422713914803
2754,570.0,3232.0,426.5,9673.0,235.0,143.69411957348845,91.7877987534291,90.24965373894794,181.60396471443016
2755,562.5,3194.0,455.5,10023.5,111.0,151.79591562357663,94.89467845985885,90.24965373894794,184.74306482247175
2756,315.0,3341.5,121.0,10756.0,692.5,160.63934760823702,91.0823802938856,92.41753080449618,183.3712082089225
2757,500.0,3630.0,372.0,11320.0,604.0,162.78820596099706,104.93807697875924,94.59386872308374,199.2786993132984
2758,193.5,3433.5,295.0,11000.5,684.0,162.8066337714775,98.3107318658548,92.9623579735368,191.23022773609824
2759,31.0,3219.5,145.0,10800.0,917.5,164.55090397806995,84.01190391843289,92.22797840135064,176.23847480048164
2760,96.0,2423.5,147.0,10693.0,2373.5,162.18816233005415,69.05070600652827,102.1077861869505,171.14321488157222
2761,42.0,3254.0,149.5,11295.0,1786.5,170.48460341039598,93.43446901438462,94.53041838477179,187.9627622695517
2762,83.5,3115.0,104.0,11130.0,2217.5,170.48460341039598,85.70880934886448,94.04786015641186,179.7470444819608
2763,53.5,2646.0,116.5,10690.5,1677.5,168.51409436602032,68.59300255857006,95.63472172804185,164.2224101637776
2764,132.0,2934.0,175.0,10935.0,1267.0,170.1558109498468,72.44308110509934,94.04786015641186,166.4602054546371
2765,299.0,3189.0,210.5,11386.5,1553.5,177.1016657177453,78.40918313565064,92.57429448826494,170.8391055935379
2766,106.5,1902.0,107.0,10534.5,4037.0,165.38742394752995,61.5223536610881,104.39348638684312,165.89454481688057
2767,110.5,3144.0,209.0,11308.0,2337.0,177.72450590731714,80.50465825031493,91.92388155425118,172.40939649566667
2768,80.5,2682.0,171.0,10840.5,2635.5,174.7483905505284,78.64477096412705,93.39164844888434,172.02616080119907
2769,15.0,2435.0,90.0,10370.0,2850.0,174.1952927033334,77.10382610480494,91.2414379544733,168.34488409215172
2770,99.0,2140.5,162.5,10342.5,5239.0,172.46738822165773,76.2954782408499,95.12623192369179,171.40595088852663
2771,71.0,1596.5,25.5,9641.0,5534.0,158.06960492137634,62.80127387243033,101.96568050084302,164.7573974060042
2772,85.0,986.0,80.0,8948.0,6253.5,148.66068747318505,49.8196748283246,107.20074626605917,157.00318468107582
2773,125.0,997.5,0.0,8092.5,1439.5,132.84953895290718,40.44749683231337,107.28000745712129,147.6787053031005
2774,85.0,844.0,25.0,7973.0,2213.0,128.00390619039717,40.311288741492746,111.46299834474219,151.75308893067054
