timestamp,dtNs,ax,ay,az,gx,gy,gz,label,chewing_soft
127957.890428542,20000000,-0.12606955,0.054743737,0.010273695,-0.16566986,-0.1781324,-0.31722647,False,0.0
127957.910428542,40000000,-0.12372392,0.048289448,0.00090140104,-0.13789093,-0.18785512,-0.30001298,False,0.0
127957.930428542,0,-0.11658658,0.044476956,-0.011936545,-0.13313742,-0.17860815,-0.30497438,False,0.0
127957.950428542,0,-0.104298666,0.033426404,-0.022551537,-0.13410097,-0.15351953,-0.3415202,False,0.0
127957.970428542,20000000,-0.09687019,0.021492153,-0.027214885,-0.12576221,-0.11805464,-0.39000982,False,0.0
127957.990428542,0,-0.09765441,0.019796759,-0.02811563,-0.107357204,-0.09104518,-0.42797247,False,0.0
127958.010428542,20000000,-0.09840288,0.018139929,-0.029034853,-0.08895219,-0.06403571,-0.4659351,False,0.0
127958.030428542,0,-0.090609856,0.021875948,-0.03473568,-0.07383246,-0.0207677,-0.49441245,False,0.0
127958.050428542,0,-0.08722874,0.027294636,-0.03655356,-0.056062907,0.030815635,-0.51274675,False,0.0
127958.070428542,0,-0.0843317,0.035206467,-0.036413014,-0.03589706,0.08597656,-0.52638096,False,0.0
127958.090428542,0,-0.07858942,0.038087964,-0.03510326,-0.014141126,0.13699071,-0.5451887,False,0.0
127958.110428542,0,-0.07213664,0.04042098,-0.0329957,0.009327767,0.18316805,-0.5613812,False,0.0
127958.130428542,20000000,-0.070143536,0.035426617,-0.02267009,0.0413792,0.20808677,-0.56690985,False,0.0
127958.150428542,0,-0.064535365,0.028571755,-0.01330483,0.08592637,0.22032465,-0.57041985,False,0.0
127958.170428542,20000000,-0.05550629,0.018673718,-0.005289316,0.13272837,0.2253624,-0.5710636,False,0.0
127958.190428542,0,-0.050749242,0.011607528,0.0032422543,0.16691685,0.22621895,-0.5798606,False,0.0
127958.210428542,0,-0.050930902,0.008258551,0.0070586205,0.18364143,0.21335857,-0.59763455,False,0.0
127958.230428542,20000000,-0.054460227,0.007612288,0.012995243,0.18712884,0.19163169,-0.6113538,False,0.0
127958.250428542,0,-0.0580025,0.010917246,0.0122419,0.17807896,0.16908664,-0.6143029,False,0.0
127958.270428542,0,-0.05559486,0.017142147,0.004790306,0.1653394,0.16852702,-0.58769244,False,0.0
127958.290428542,20000000,-0.053195074,0.023373604,-0.002661705,0.15259983,0.1679674,-0.56108207,False,0.0
127958.310428542,40000000,-0.0508032,0.029611588,-0.010114253,0.13986026,0.16740778,-0.53447163,False,0.0
127958.330428542,0,-0.04492815,0.036210686,-0.016660571,0.12210573,0.19016455,-0.49801165,False,0.0
127958.350428542,0,-0.04262358,0.035998553,-0.017891526,0.11069914,0.21396823,-0.4637684,False,0.0
127958.370428542,20000000,-0.03299874,0.02713415,-0.020465493,0.11406426,0.2460523,-0.4525816,False,0.0
127958.390428542,0,-0.02329661,0.008436501,-0.024156332,0.14301182,0.29451257,-0.48845163,False,0.0
127958.410428542,20000000,-0.026430994,-0.012398273,-0.024950385,0.20256713,0.33467367,-0.55911094,False,0.0
127958.430428542,0,-0.033487946,-0.024885356,-0.027439892,0.28073722,0.36239022,-0.6673819,False,0.0
127958.450428542,20000000,-0.044478968,-0.030018002,-0.024676621,0.36673424,0.37630975,-0.7935728,False,0.0
127958.470428542,0,-0.03977558,-0.042375028,-0.026093006,0.45543617,0.39606628,-0.9293927,False,0.0
127958.490428542,0,-0.028857738,-0.06097816,-0.04357505,0.5493113,0.46011668,-1.1213396,False,0.0
127958.510428542,0,-0.039348975,-0.07687758,-0.045476556,0.6613036,0.5117188,-1.3304818,False,0.0
127958.530428542,0,-0.028182909,-0.111223206,-0.054543972,0.798557,0.59527606,-1.6447103,False,0.0
127958.550428542,20000000,-0.0172818,-0.1456328,-0.06376499,0.9358103,0.6788333,-1.958939,False,0.0
